D0 D9 0 1 140 109 93 -47
O L -1 0 109 78 203 94
L L 0 0 78 109 140 62
L E 1 6 109 125 2075 1966
E G -1 -2 125 156 140 15
G E 1 2 156 109 110 -46
E Space -3 -1 109 109 1419 1310
Space A 2 3 109 156 297 188
A F 0 -3 156 93 109 -47
F T 1 -1 93 78 187 94
T E 0 2 78 141 140 62
E R 0 -1 141 78 94 -47
R Space -3 0 78 78 62 -16
Space T 3 -1 78 140 141 63
T H -1 -1 140 94 93 -47
H E 1 3 94 78 172 78
E Space -3 -1 78 93 47 -31
Space F 2 0 93 78 156 63
F I 1 -4 78 78 109 31
I R 0 4 78 141 62 -16
R S -1 2 141 156 110 -31
S T 1 -3 156 109 93 -63
T Space -3 1 109 63 109 0
Space D6 4 -2 63 62 110 47
D6 Space -4 2 62 78 62 0
Space M 1 -3 78 109 156 78
M O 2 -2 109 156 109 0
O N -2 3 156 109 94 -62
N T 2 1 109 125 62 -47
T H -1 -1 125 109 78 -47
H S 0 4 109 78 203 94
S Space -2 -2 78 109 172 94
Space Back 4 -9 109 78 608 499
Back Oemcomma -3 5 78 94 218 140
Oemcomma Space -1 4 94 78 78 -16
Space B 1 -1 78 78 172 94
B U 2 -2 78 94 109 31
U T 0 2 94 63 109 15
T Space -3 1 63 94 78 15
Space T 3 -1 94 125 94 0
T H -1 -1 125 109 78 -47
H E 1 3 109 78 172 63
E N -2 -3 78 93 78 0
N Space -1 2 93 93 109 16
Space S 2 2 93 171 203 110
S T 1 -3 171 110 124 -47
T Y 0 -1 110 78 484 374
Y Back 1 -7 78 109 421 343
Back A -2 12 109 109 983 874
A Y 1 -5 109 78 109 0
Y E 0 3 78 78 141 63
E D -1 0 78 94 171 93
D Space -2 -1 94 78 109 15
Space A 2 3 78 187 1280 1202
A R 1 -3 187 78 140 -47
R O 0 -5 78 140 78 0
O U 0 2 140 94 62 -78
U N -2 1 94 93 188 94
N D 1 3 93 78 93 0
D Space -2 -1 78 78 94 16
Space A 2 3 78 172 93 15
A S 0 -1 172 109 94 -78
S Space -2 -2 109 78 140 31
Space A 2 3 78 93 1155 1077
A Space -2 -3 93 62 109 16
Space D 2 1 62 62 94 32
D R 1 -1 62 78 156 94
R O 0 -5 78 140 62 -16
O P 0 -1 140 94 78 -62
P Space -3 6 94 93 125 31
Space Back 4 -9 93 94 655 562
Back OemMinus 0 2 94 78 187 93
OemMinus I -1 3 78 125 281 203
I N -2 2 125 110 62 -63
N Space -1 2 110 94 546 436
Space F 2 0 94 78 219 125
F O 1 -5 78 78 62 -16
O R 0 5 78 78 94 16
R Space -3 0 78 78 93 15
Space A 2 3 78 109 94 16
A N -1 -5 109 156 125 16
N O 2 -3 156 94 93 -63
O T 0 4 94 125 125 31
T H -1 -1 125 109 63 -62
H E 1 3 109 156 280 171
E W 0 1 156 78 16 -140
W R 0 -2 78 78 62 -16
R Back 1 -9 78 78 1170 1092
Back Back 0 0 78 94 156 78
Back R -1 9 94 93 687 593
R Space -3 0 93 94 93 0
Space D1 4 3 94 78 156 62
D1 D8 0 -7 78 78 172 94
D8 Space -4 4 78 93 94 16
Space M 1 -3 93 110 124 31
M O 2 -2 110 141 125 15
O N -2 3 141 94 78 -63
N T 2 1 94 140 63 -31
T H -1 -1 140 125 62 -78
H S 0 4 125 94 265 140
S Space -2 -2 94 78 94 0
Space O 3 -5 78 110 1653 1575
O R 0 5 110 109 203 93
R Space -3 0 109 110 109 0
Space S 2 2 110 93 188 78
S O 1 -7 93 94 62 -31
O Space -3 5 94 94 156 62
Space B 1 -1 94 78 702 608
B E 2 2 78 94 187 109
E F -1 -1 94 78 952 858
F O 1 -5 78 94 93 15
O R 0 5 94 93 141 47
R E 0 1 93 78 62 -31
E Space -3 -1 78 93 921 843
Space RShiftKey 1 -7 93 171 234 141
RShiftKey I 2 3 171 93 109 -62
I Space -3 4 93 78 109 16
Space V 1 0 78 46 16 -62
V R 2 0 46 141 202 156
R E 0 1 141 94 94 -47
E A -1 2 94 78 203 109
A L 0 -8 78 62 47 -31
L L 0 0 62 94 140 78
L Y 1 3 94 63 140 46
Y Space -3 2 63 93 63 0
Space Q 3 3 93 94 140 47
Q U 0 -6 94 141 109 15
U I 0 -1 141 125 78 -63
I T 0 3 125 63 125 0
T Left -3 -6 63 62 2013 1950
Left Left 0 0 62 78 124 62
Left Left 0 0 78 62 141 63
Left Left 0 0 62 78 140 78
Left Left 0 0 78 47 156 78
Left Left 0 0 47 62 141 94
Left Left 0 0 62 62 140 78
Left Left 0 0 62 63 140 78
Left Left 0 0 63 78 141 78
Left Left 0 0 78 78 156 78
Left Left 0 0 78 62 156 78
Left Left 0 0 62 31 156 94
Left Right 0 -2 31 109 437 406
Right Back 4 0 109 78 327 218
Back Right -4 0 78 63 390 312
Right Right 0 0 63 78 141 78
Right Right 0 0 78 1404 156 78
Right OemPeriod 1 4 1404 109 2870 1466
OemPeriod Space -1 5 109 78 109 0
Space RShiftKey 1 -7 78 171 141 63
RShiftKey S 1 9 171 94 124 -47
S O 1 -7 94 110 156 62
O Space -3 5 110 94 94 -16
Space RShiftKey 1 -7 94 202 952 858
RShiftKey W 2 9 202 93 109 -93
W H -1 -4 93 78 234 141
H Back 2 -7 78 63 327 249
Back Back 0 0 63 94 125 62
Back W -1 11 94 93 94 0
W H -1 -4 93 156 437 344
H Y 1 0 156 109 93 -63
Y Space -3 2 109 93 141 32
Space D 2 1 93 93 577 484
D I 1 -5 93 94 140 47
I D -1 5 94 78 125 31
D Space -2 -1 78 93 94 16
Space RShiftKey 1 -7 93 609 639 546
RShiftKey I 2 3 609 94 546 -63
I Space -3 4 94 93 110 16
Space D 2 1 93 93 156 63
D R 1 -1 93 78 187 94
R O 0 -5 78 125 93 15
O P 0 -1 125 78 78 -47
P Space -3 6 78 94 78 0
Space O 3 -5 94 140 250 156
O U 0 2 140 78 78 -62
U T 0 2 78 78 109 31
T RShiftKey -2 -6 78 156 219 141
RShiftKey OemQuestion 0 1 156 109 93 -63
OemQuestion Return 1 -2 109 78 187 78
Return Return 0 0 78 125 1030 952
Return Return 0 0 125 109 562 437
Return RShiftKey -1 1 109 172 436 327
RShiftKey I 2 3 172 109 110 -62
I T 0 3 109 78 156 47
T Space -3 1 78 93 78 0
Space S 2 2 93 171 156 63
S T 1 -3 171 78 156 -15
T A -1 4 78 109 265 187
A R 1 -3 109 141 249 140
R T 0 -1 141 109 94 -47
T E 0 2 109 32 218 109
E D -1 0 32 125 172 140
D Space -2 -1 125 125 265 140
Space B 1 -1 125 93 2091 1966
B E 2 2 93 125 218 125
E F -1 -1 125 78 94 -31
F O 1 -5 78 94 124 46
O R 0 5 94 125 78 -16
R E 0 1 125 94 78 -47
E Space -3 -1 94 78 63 -31
Space RShiftKey 1 -7 78 187 281 203
RShiftKey I 2 3 187 109 62 -125
I Space -3 4 109 78 109 0
Space W 3 2 78 109 250 172
W A -1 1 109 171 78 -31
A S 0 -1 171 94 109 -62
S Space -2 -2 94 78 78 -16
Space B 1 -1 78 47 343 265
B O 2 -4 47 109 78 31
O R 0 5 109 78 109 0
R N -2 -2 78 94 78 0
N OemPeriod 0 -3 94 110 2184 2090
OemPeriod Space -1 5 110 93 110 0
Space RShiftKey 1 -7 93 218 187 94
RShiftKey M 0 4 218 109 125 -93
M Y 2 1 109 62 187 78
Y Space -3 2 62 78 93 31
Space B 1 -1 78 93 141 63
B I 2 -3 93 125 265 172
I O 0 -1 125 109 78 -47
O L -1 0 109 63 218 109
L O 1 0 63 94 156 93
O G -1 4 94 63 156 62
G I 1 -3 63 93 63 0
I C -2 5 93 141 140 47
C A 1 2 141 93 94 -47
A L 0 -8 93 78 93 0
L Space -2 5 78 93 110 32
Space M 1 -3 93 125 2854 2761
M O 2 -2 125 125 78 -47
O T 0 4 125 124 110 -15
T H -1 -1 124 78 93 -31
H E 1 3 78 171 250 172
E R 0 -1 171 110 93 -78
R Space -3 0 110 93 141 31
Space W 3 2 93 32 249 156
W A -1 1 32 172 0 -32
A S 0 -1 172 94 312 140
S Space -2 -2 94 94 125 31
Space A 2 3 94 94 156 62
A Space -2 -3 94 78 94 0
Space Y 3 -2 78 94 452 374
Y O 0 -3 94 140 125 31
O U 0 2 140 109 47 -93
U N -2 1 109 109 218 109
N G 1 1 109 93 141 32
G Space -2 1 93 94 93 0
Space Back 4 -9 94 94 1045 951
Back Oemcomma -3 5 94 94 234 140
Oemcomma Space -1 4 94 78 94 0
Space U 3 -3 78 94 265 187
U N -2 1 94 124 63 -31
N W 2 4 124 124 156 32
W E 0 -1 124 94 62 -62
E D -1 0 94 78 187 93
D Space -2 -1 78 93 94 16
Space C 1 1 93 94 1154 1061
C O 2 -6 94 93 172 78
O L -1 0 93 62 187 94
L L 0 0 62 78 125 63
L E 1 6 78 109 47 -31
E G -1 -2 109 156 93 -16
G E 1 2 156 94 109 -47
E Space -3 -1 94 78 63 -31
Space G 2 -1 78 63 93 15
G R 1 1 63 94 172 109
R A -1 3 94 94 218 124
A D 0 -2 94 94 78 -16
D U 1 -4 94 78 219 125
U A -1 6 78 109 125 47
A T 1 -4 109 156 156 47
T E 0 2 156 109 93 -63
E Space -3 -1 109 78 94 -15
Space S 2 2 78 94 1497 1419
S T 1 -3 94 93 188 94
T U 0 -2 93 63 171 78
U D -1 4 63 141 78 15
D E 1 0 141 141 78 -63
E N -2 -3 141 94 109 -32
N T 2 1 94 93 141 47
T Oemcomma -2 -3 93 93 827 734
Oemcomma Space -1 4 93 78 78 -15
Space A 2 3 78 94 202 124
A N -1 -5 94 94 94 0
N D 1 3 94 94 109 15
D Space -2 -1 94 109 78 -16
Space S 2 2 109 78 858 749
S H 0 -4 78 94 156 78
H E 1 3 94 63 109 15
E Space -3 -1 63 78 110 47
Space D 2 1 78 140 78 0
D E 1 0 140 141 93 -47
E C -2 0 141 93 141 0
C I 2 -5 93 78 78 -15
I D -1 5 78 110 124 46
D E 1 0 110 78 188 78
E D -1 0 78 93 156 78
D Space -2 -1 93 94 124 31
Space T 3 -1 94 94 702 608
T O 0 -4 94 94 94 0
O Space -3 5 94 94 109 15
Space P 3 -6 94 156 109 15
P U 0 3 156 78 94 -62
U T 0 2 78 63 109 31
T Space -3 1 63 94 109 46
Space M 1 -3 94 109 172 78
M E 2 4 109 94 140 31
E Space -3 -1 94 94 78 -16
Space U 3 -3 94 94 1014 920
U P 0 -3 94 93 188 94
P Space -3 6 93 63 93 0
Space F 2 0 63 62 203 140
F O 1 -5 62 94 62 0
O R 0 5 94 94 78 -16
R Space -3 0 94 93 110 16
Space A 2 3 93 94 171 78
A D 0 -2 94 78 468 374
D O 1 -6 78 140 203 125
O P 0 -1 140 110 62 -78
P T 0 5 110 78 172 62
T I 0 -3 78 156 94 16
I O 0 -1 156 187 109 -47
O N -2 3 187 94 140 -47
N OemPeriod 0 -3 94 125 250 156
OemPeriod Space -1 5 125 94 109 -16
Space RShiftKey 1 -7 94 156 1622 1528
RShiftKey S 1 9 156 78 125 -31
S H 0 -4 78 94 109 31
H E 1 3 94 62 110 16
E Space -3 -1 62 109 93 31
Space F 2 0 109 156 187 78
F E 1 1 156 109 110 -46
E L -1 -6 109 109 140 31
L T 1 4 109 78 140 31
T Space -3 1 78 78 110 32
Space V 1 0 78 78 655 577
V E 2 1 78 156 171 93
E R 0 -1 156 78 94 -62
R Y 0 -2 78 93 671 593
Y Space -3 2 93 93 125 32
Space S 2 2 93 78 327 234
S T 1 -3 78 140 219 141
T R 0 1 140 109 93 -47
R O 0 -5 109 125 78 -31
O N -2 3 125 109 63 -62
N G 1 1 109 78 109 0
G L 0 -4 78 109 109 31
L Y 1 3 109 109 125 16
Y Space -3 2 109 94 1279 1170
Space T 3 -1 94 109 156 62
T H -1 -1 109 94 62 -47
H A 0 5 94 140 219 125
A T 1 -4 140 94 62 -78
T Space -3 1 94 62 63 -31
Space RShiftKey 1 -7 62 172 171 109
RShiftKey I 2 3 172 109 63 -109
I Space -3 4 109 78 93 -16
Space S 2 2 78 78 156 78
S H 0 -4 78 109 47 -31
H O 1 -3 109 141 187 78
O U 0 2 141 109 47 -94
U L -1 -2 109 109 187 78
L D 0 6 109 93 141 32
D Space -2 -1 93 94 93 0
Space B 1 -1 94 93 562 468
B E 2 2 93 78 187 94
E Space -3 -1 78 78 78 0
Space A 2 3 78 125 140 62
A D 0 -2 125 78 78 -47
D O 1 -6 78 140 375 297
O P 0 -1 140 109 78 -62
P T 0 5 109 172 187 78
T E 0 2 172 109 109 -63
E D -1 0 109 125 203 94
D Space -2 -1 125 109 109 -16
Space B 1 -1 109 78 733 624
B Y 2 -1 78 78 188 110
Y Space -3 2 78 78 109 31
Space C 1 1 78 109 140 62
C O 2 -6 109 93 94 -15
O L -1 0 93 46 203 110
L L 0 0 46 93 109 63
L E 1 6 93 156 78 -15
E G -1 -2 156 188 93 -63
G E 1 2 188 109 125 -63
E Space -3 -1 109 93 718 609
Space G 2 -1 93 94 327 234
G R 1 1 94 78 219 125
R A -1 3 78 141 93 15
A D 0 -2 141 125 94 -47
D U 1 -4 125 16 218 93
U A -1 6 16 78 0 -16
A T 1 -4 78 187 94 16
T E 0 2 187 125 109 -78
E Oemcomma -2 -5 125 109 1576 1451
Oemcomma Space -1 4 109 78 78 -31
Space S 2 2 78 109 156 78
S O 1 -7 109 78 93 -16
O Space -3 5 78 94 94 16
Space E 3 1 94 125 156 62
E V -2 -1 125 124 406 281
V E 2 1 124 125 265 141
E R 0 -1 125 94 62 -63
R Y 0 -2 94 93 219 125
Y T 0 1 93 141 171 78
T H -1 -1 141 109 78 -63
H I 1 -2 109 125 94 -15
I N -2 2 125 93 78 -47
N G 1 1 93 94 62 -31
G Space -2 1 94 94 125 31
Space W 3 2 94 94 1544 1450
W A -1 1 94 156 78 -16
A S 0 -1 156 78 110 -46
S Space -2 -2 78 62 78 0
Space A 2 3 62 94 93 31
A L 0 -8 94 63 109 15
L L 0 0 63 125 125 62
L Space -2 5 125 93 63 -62
Space S 2 2 93 62 187 94
S E 1 -1 62 172 187 125
E T 0 -2 172 94 109 -63
