Z Right -1 -12 0 110 10857 10857
D A 0 2 187 171 78 -109
A Y 1 -5 171 188 982 811
Y Space -3 2 188 140 141 -47
Space A 2 3 140 172 249 109
A T 1 -4 172 140 375 203
T Space -3 1 140 141 140 0
Space Y 3 -2 141 140 172 31
Y O 0 -3 140 187 78 -62
O U 0 2 187 156 125 -62
U R 0 3 156 140 140 -16
R Space -3 0 140 141 109 -31
Space C 1 1 141 156 484 343
C O 2 -6 156 125 125 -31
O M -2 2 125 94 249 124
M M 0 0 94 125 156 62
M E 2 4 125 156 468 343
E N -2 -3 156 141 359 203
N C 0 3 141 234 375 234
C E 2 0 234 156 124 -110
E M -2 -4 156 156 734 578
M E 2 4 156 171 109 -47
E N -2 -3 171 140 593 422
N T 2 1 140 140 109 -31
T Space -3 1 140 140 967 827
Space F 2 0 140 218 406 266
F R 1 0 218 156 93 -125
R O 0 -5 156 109 203 47
O M -2 2 109 156 234 125
M Space -1 3 156 140 94 -62
Space O 3 -5 140 109 1107 967
O N -2 3 109 125 234 125
N E 2 3 125 172 203 78
E Space -3 -1 172 125 140 -32
Space O 3 -5 125 156 219 94
O F -1 5 156 125 265 109
F Space -2 0 125 140 203 78
Space T 3 -1 140 156 1248 1108
T H -1 -1 156 156 218 62
H E 1 3 156 156 312 156
E Space -3 -1 156 125 125 -31
Space F 2 0 125 140 2543 2418
F I 1 -4 140 110 93 -47
I N -2 2 110 109 219 109
N E 2 3 109 140 125 16
E S -1 1 140 172 280 140
S T 1 -3 172 141 671 499
T Space -3 1 141 140 1061 920
Space U 3 -3 140 125 218 78
U N -2 1 125 109 203 78
N I 2 -2 109 141 187 78
I V -2 4 141 234 344 203
V E 2 1 234 188 124 -110
E R 0 -1 188 109 281 93
R S -1 2 109 141 265 156
S I 1 -6 141 156 141 0
I T 0 3 156 141 218 62
T I 0 -3 141 156 359 218
I E 0 5 156 219 187 31
E S -1 1 219 172 109 -110
S Space -2 -2 172 156 375 203
Space O 3 -5 156 141 452 296
O I 0 1 141 109 16 -125
I Back 1 -5 109 141 608 499
Back I -1 5 141 93 297 156
I N -2 2 93 125 265 172
N Space -1 2 125 156 78 -47
Space T 3 -1 156 141 249 93
T H -1 -1 141 109 125 -16
H E 1 3 109 141 78 -31
E Space -3 -1 141 141 109 -32
Space Back 4 -9 141 125 796 655
Back Back 0 0 125 78 187 62
Back Back 0 0 78 94 156 78
Back Back 0 0 94 78 156 62
Back Back 0 0 78 93 141 63
Back Back 0 0 93 78 171 78
Back Back 0 0 78 94 156 78
Back Back 0 0 94 109 172 78
Back I -1 5 109 124 905 796
I N -2 2 124 124 234 110
N Space -1 2 124 140 78 -46
Space T 3 -1 140 156 156 16
T H -1 -1 156 109 140 -16
H E 1 3 109 140 94 -15
E Space -3 -1 140 140 109 -31
Space W 3 2 140 125 1934 1794
W O 0 -7 125 156 125 0
O R 0 5 156 31 250 94
R R 0 0 31 125 249 218
R Back 1 -9 125 156 1139 1014
Back R -1 9 156 140 796 640
R Back 1 -9 140 125 327 187
Back L -2 4 125 124 219 94
L D 0 6 124 140 265 141
D OemPeriod -1 -6 140 140 780 640
OemPeriod Space -1 5 140 187 1045 905
Space LShiftKey 1 4 187 297 2527 2340
LShiftKey I 2 -8 297 140 203 -94
I Space -3 4 140 125 218 78
Space N 1 -2 125 109 203 78
N E 2 3 109 125 78 -31
E V -2 -1 125 156 297 172
V E 2 1 156 156 78 -78
E R 0 -1 156 125 187 31
R Space -3 0 125 140 187 62
Space G 2 -1 140 156 406 266
G R 1 1 156 172 296 140
R A -1 3 172 156 109 -63
A D 0 -2 156 140 297 141
D U 1 -4 140 140 468 328
U A -1 6 140 140 234 94
A T 1 -4 140 156 202 62
T E 0 2 156 125 94 -62
E D -1 0 125 109 234 109
D Space -2 -1 109 156 156 47
Space F 2 0 156 156 156 0
F R 1 0 156 140 94 -62
R O 0 -5 140 109 296 156
O M -2 2 109 187 577 468
M Space -1 3 187 141 109 -78
Space C 1 1 141 156 172 31
C O 2 -6 156 109 156 0
O L -1 0 109 78 203 94
L L 0 0 78 124 125 47
L E 1 6 124 171 78 -46
E G -1 -2 171 124 312 141
G E 1 2 124 125 62 -62
Space LShiftKey 1 4 156 531 530 374
LShiftKey T 2 -5 531 187 359 -172
T R 0 1 187 125 359 172
R U 0 -3 125 156 327 202
U T 0 2 156 125 297 141
T H -1 -1 125 156 93 -32
H Space -2 2 156 124 110 -46
Space T 3 -1 124 140 468 344
T O 0 -4 140 156 140 0
O Space -3 5 156 62 156 0
Space B 1 -1 62 172 998 936
B E 2 2 172 172 250 78
E Space -3 -1 172 141 187 15
Space T 3 -1 141 141 468 327
T O 0 -4 141 110 109 -32
O L -1 0 110 140 188 78
L D 0 6 140 187 1653 1513
D Oemcomma -1 -5 187 172 858 671
Oemcomma Space -1 4 172 141 3354 3182
Space T 3 -1 141 125 187 46
T H -1 -1 125 109 63 -62
H I 1 -2 109 124 203 94
I S -1 6 124 140 109 -15
S Space -2 -2 140 125 140 0
Space I 3 -4 125 125 187 62
I S -1 6 125 140 110 -15
S Space -2 -2 140 156 124 -16
Space T 3 -1 156 140 172 16
T H -1 -1 140 125 109 -31
H E 1 3 125 327 141 16
E R 0 -1 327 125 31 -296
R Back 1 -9 125 94 920 795
Back Space -4 9 94 171 843 749
Space C 1 1 171 140 468 297
C L 1 -6 140 110 124 -16
L O 1 0 110 140 188 78
O S -1 7 140 171 78 -62
S E 1 -1 171 171 234 63
E S -1 1 171 110 280 109
S T 1 -3 110 125 250 140
T Space -3 1 125 124 172 47
Space LShiftKey 1 4 124 359 358 234
LShiftKey I 2 -8 359 156 172 -187
I Oem7 -1 -3 156 109 749 593
Oem7 V -1 7 109 218 359 250
V E 2 1 218 156 140 -78
E Space -3 -1 156 125 3167 3011
Space E 3 1 125 187 265 140
E V -2 -1 187 203 281 94
V E 2 1 203 187 125 -78
E R 0 -1 187 140 234 47
R Space -3 0 140 125 187 47
Space G 2 -1 125 125 234 109
G O 1 -4 125 140 156 31
O T 0 4 140 109 218 78
T T 0 0 109 187 172 63
T E 0 2 187 156 93 -94
E N -2 -3 156 188 1092 936
N Space -1 2 188 156 94 -94
Space T 3 -1 156 156 2137 1981
T O 0 -4 156 187 234 78
O Space -3 5 187 156 94 -93
Space A 2 3 156 188 171 15
A Space -2 -3 188 156 141 -47
Space C 1 1 156 141 483 327
C O 2 -6 141 125 141 0
O L -1 0 125 78 218 93
L L 0 0 78 124 141 63
L E 1 6 124 156 78 -46
E G -1 -2 156 156 202 46
G E 1 2 156 141 78 -78
E Space -3 -1 141 156 3152 3011
Space G 2 -1 156 172 62 -94
G R 1 1 172 156 281 109
R A -1 3 156 172 93 -63
A D 0 -2 172 156 266 94
D U 1 -4 156 125 202 46
U A -1 6 125 125 63 -62
A T 1 -4 125 140 156 31
T I 0 -3 140 171 593 453
I O 0 -1 171 125 93 -78
O N -2 3 125 141 187 62
N OemPeriod 0 -3 141 94 905 764
OemPeriod Space -1 5 94 124 219 125
Space LShiftKey 1 4 124 484 2667 2543
LShiftKey T 2 -5 484 140 359 -125
T O 0 -4 140 140 250 110
O D -1 6 140 156 234 94
D A 0 2 156 140 78 -78
A Y 1 -5 140 156 234 94
Y Space -3 2 156 141 171 15
Space LShiftKey 1 4 141 219 265 124
LShiftKey I 2 -8 219 140 110 -109
I Space -3 4 140 125 93 -47
Space W 3 2 125 187 156 31
W A -1 1 187 125 125 -62
A S 0 -1 125 125 218 93
S Space -2 -2 125 141 203 78
Space T 3 -1 141 109 156 15
T O 0 -4 109 156 141 32
O Space -3 5 156 125 109 -47
Space T 3 -1 125 140 156 31
T E 0 2 140 125 249 109
E L -1 -6 125 78 281 156
L L 0 0 78 124 141 63
L Space -2 5 124 109 109 -15
Space Y 3 -2 109 125 343 234
Y O 0 -3 125 202 94 -31
O U 0 2 202 172 124 -78
U Space -3 3 172 109 125 -47
Space T 3 -1 109 140 843 734
T H -1 -1 140 156 811 671
H R 1 2 156 171 234 78
R E 0 1 171 110 249 78
E E 0 0 110 140 188 78
E Space -3 -1 140 141 171 31
Space S 2 2 141 140 172 31
S T 1 -3 140 140 281 141
T O 0 -4 140 172 296 156
O R 0 5 172 94 265 93
R I 0 -4 94 141 109 15
I E 0 5 141 156 125 -16
E S -1 1 156 141 78 -78
S OemPeriod -1 -7 141 109 624 483
OemPeriod Return 1 -3 109 93 999 890
Return Return 0 0 93 109 171 78
Return LShiftKey -1 12 109 514 375 266
LShiftKey T 2 -5 514 156 374 -140
T H -1 -1 156 109 640 484
H E 1 3 109 125 93 -16
E Space -3 -1 125 125 125 0
Space F 2 0 125 125 234 109
F I 1 -4 125 141 140 15
I R 0 4 141 172 125 -16
R S -1 2 172 141 78 -94
S T 1 -3 141 125 234 93
T Space -3 1 125 141 156 31
Space S 2 2 141 141 187 46
S T 1 -3 141 141 780 639
T O 0 -4 141 141 203 62
O R 0 5 141 140 172 31
R Y 0 -2 140 140 1373 1233
Y Space -3 2 140 140 234 94
Space I 3 -4 140 94 483 343
I S -1 6 94 110 109 15
S Space -2 -2 110 140 94 -16
Space A 2 3 140 140 203 63
A B -1 -4 140 141 795 655
B O 2 -4 141 94 234 93
O U 0 2 94 140 188 94
U D9 1 -2 140 31 15 -125
D9 T -1 4 31 125 187 156
T Back 1 -8 125 172 874 749
Back Back 0 0 172 156 218 46
Back T -1 8 156 156 1451 1295
T Space -3 1 156 140 4696 4540
Space C 1 1 140 140 156 16
C O 2 -6 140 93 125 -15
O N -2 3 93 93 234 141
N N 0 0 93 140 140 47
N E 2 3 140 188 140 0
E C -2 0 188 156 328 140
C T 2 -2 156 94 296 140
T I 0 -3 94 78 110 16
I N -2 2 78 78 358 280
N G 1 1 78 125 125 47
G Space -2 1 125 124 141 16
Space T 3 -1 124 125 421 297
T H -1 -1 125 140 125 0
H E 1 3 140 156 249 109
E Space -3 -1 156 125 156 0
Space D 2 1 125 172 421 296
D O 1 -6 172 156 188 16
O T 0 4 156 140 187 31
T S -1 3 140 140 125 -15
S D 0 -1 140 78 31 -109
D Back 2 -10 78 156 827 749
Back OemPeriod -3 4 156 110 1996 1840
OemPeriod Return 1 -3 110 78 812 702
Return Return 0 0 78 109 156 78
Return LShiftKey -1 12 109 421 1185 1076
LShiftKey I 2 -8 421 124 297 -124
I Space -3 4 124 125 218 94
Space D 2 1 125 156 218 93
D R 1 -1 156 124 266 110
R O 0 -5 124 109 249 125
O P 0 -1 109 78 219 110
P P 0 0 78 125 140 62
P E 0 7 125 156 62 -63
E D -1 0 156 140 266 110
D Space -2 -1 140 249 312 172
Space O 3 -5 249 156 858 609
O U 0 2 156 109 234 78
U T 0 2 109 125 218 109
T Space -3 1 125 140 94 -31
Space O 3 -5 140 141 405 265
O F -1 5 141 125 156 15
F Space -2 0 125 140 94 -31
Space R 3 0 140 187 172 32
R E 0 1 187 125 109 -78
E E 0 0 125 140 187 62
E Back 1 -10 140 109 1108 968
Back Back 0 0 109 125 187 78
Back Back 0 0 125 125 405 280
Back LShiftKey -3 13 125 437 141 16
LShiftKey R 2 -4 437 172 249 -188
R E 0 1 172 125 468 296
E E 0 0 125 156 172 47
E D -1 0 156 140 359 203
D LShiftKey -1 3 140 655 296 156
LShiftKey Space -1 -4 655 203 109 -546
Space C 1 1 203 172 406 203
C O 2 -6 172 109 281 109
O L -1 0 109 78 203 94
L L 0 0 78 125 140 62
L E 1 6 125 187 94 -31
E G -1 -2 187 156 234 47
G E 1 2 156 156 62 -94
E Space -3 -1 156 171 1139 983
Space A 2 3 171 202 359 188
A F 0 -3 202 141 436 234
F T 1 -1 141 172 312 171
T E 0 2 172 156 94 -78
E R 0 -1 156 141 187 31
R Space -3 0 141 172 156 15
Space T 3 -1 172 141 109 -63
T H -1 -1 141 156 188 47
H E 1 3 156 109 343 187
E Space -3 -1 109 140 125 16
Space F 2 0 140 125 249 109
F I 1 -4 125 156 172 47
I R 0 4 156 202 125 -31
R S -1 2 202 156 93 -109
S T 1 -3 156 140 281 125
T Space -3 1 140 203 312 172
Space D6 4 -2 203 172 889 686
D6 Space -4 2 172 156 250 78
Space M 1 -3 156 219 452 296
M O 2 -2 219 141 109 -110
O N -2 3 141 171 219 78
N T 2 1 171 172 343 172
T H -1 -1 172 125 156 -16
H S 0 4 125 171 203 78
S Space -2 -2 171 125 249 78
Space Back 4 -9 125 141 437 312
Back Oemcomma -3 5 141 109 437 296
Oemcomma Space -1 4 109 156 218 109
Space B 1 -1 156 187 1358 1202
B U 2 -2 187 140 499 312
U T 0 2 140 156 171 31
T Space -3 1 156 219 1061 905
Space T 3 -1 219 156 375 156
T H -1 -1 156 125 218 62
H E 1 3 125 188 140 15
E M -2 -4 188 218 640 452
M Space -1 3 218 219 109 -109
Space S 2 2 219 172 203 -16
S T 1 -3 172 171 250 78
T A -1 4 171 156 109 -62
A Y 1 -5 156 140 421 265
Y E 0 3 140 156 94 -46
E D -1 0 156 141 327 171
D Space -2 -1 141 156 499 358
Space A 2 3 156 172 156 0
A R 1 -3 172 156 203 31
R O 0 -5 156 93 297 141
O U 0 2 93 109 171 78
U N -2 1 109 125 359 250
N D 1 3 125 140 94 -31
D Space -2 -1 140 156 639 499
Space A 2 3 156 218 796 640
A S 0 -1 218 156 125 -93
S Space -2 -2 156 156 218 62
Space A 2 3 156 125 140 -16
A Space -2 -3 125 141 125 0
Space D 2 1 141 156 484 343
D R 1 -1 156 124 281 125
R O 0 -5 124 203 421 297
O P 0 -1 203 140 78 -125
P OemMinus 1 -1 140 140 265 125
OemMinus I -1 3 140 109 234 94
I N -2 2 109 156 796 687
N Space -1 2 156 234 296 140
Space F 2 0 234 156 437 203
F O 1 -5 156 141 171 15
O R 0 5 141 141 125 -16
R Space -3 0 141 141 156 15
Space A 2 3 141 156 187 46
A N -1 -5 156 156 359 203
N O 2 -3 156 141 265 109
O T 0 4 141 187 406 265
T H -1 -1 187 140 749 562
H E 1 3 140 172 171 31
E R 0 -1 172 156 78 -94
R Space -3 0 156 234 406 250
Space D1 4 3 234 172 577 343
D1 D8 0 -7 172 156 265 93
D8 Space -4 4 156 156 281 125
Space M 1 -3 156 187 219 63
M O 2 -2 187 172 62 -125
O N -2 3 172 156 234 62
N T 2 1 156 140 250 94
T H -1 -1 140 125 140 0
H S 0 4 125 187 250 125
S Space -2 -2 187 156 577 390
Space O 3 -5 156 140 671 515
O R 0 5 140 156 171 31
R Space -3 0 156 156 125 -31
Space S 2 2 156 156 187 31
S O 1 -7 156 203 125 -31
O Space -3 5 203 141 140 -63
Space B 1 -1 141 218 3027 2886
B E 2 2 218 172 296 78
E F -1 -1 172 140 297 125
F O 1 -5 140 125 218 78
O R 0 5 125 141 109 -16
R E 0 1 141 125 78 -63
E Space -3 -1 125 187 281 156
Space LShiftKey 1 4 187 203 203 16
LShiftKey I 2 -8 203 172 140 -63
I Space -3 4 172 172 109 -63
Space R 3 0 172 156 156 -16
R E 0 1 156 156 63 -93
E A -1 2 156 171 312 156
A L 0 -8 171 78 281 110
L L 0 0 78 125 140 62
L Y 1 3 125 156 250 125
Y Space -3 2 156 141 93 -63
Space Q 3 3 141 140 328 187
Q U 0 -6 140 125 156 16
U I 0 -1 125 124 203 78
I T 0 3 124 156 140 16
T OemPeriod -2 -4 156 109 1669 1513
OemPeriod LShiftKey 0 9 109 374 203 94
LShiftKey Space -1 -4 374 156 47 -327
Space S 2 2 156 187 187 31
S O 1 -7 187 140 172 -15
O Space -3 5 140 140 78 -62
Space W 3 2 140 141 405 265
W H -1 -4 141 93 484 343
H Y 1 0 93 156 998 905
Y Space -3 2 156 156 94 -62
Space D 2 1 156 156 546 390
D I 1 -5 156 110 171 15
I D -1 5 110 125 125 15
D Space -2 -1 125 172 125 0
Space LShiftKey 1 4 172 297 140 -32
LShiftKey I 2 -8 297 187 172 -125
I Space -3 4 187 156 140 -47
Space D 2 1 156 156 640 484
D R 1 -1 156 140 328 172
R O 0 -5 140 203 280 140
O P 0 -1 203 219 78 -125
P Space -3 6 219 156 156 -63
Space O 3 -5 156 156 328 172
O U 0 2 156 141 218 62
U T 0 2 141 187 219 78
T Space -3 1 187 125 452 265
Space RShiftKey 1 -7 125 515 125 0
RShiftKey OemQuestion 0 1 515 109 156 -359
OemQuestion Back 3 -3 109 171 1217 1108
Back RShiftKey -3 2 171 328 889 718
RShiftKey OemQuestion 0 1 328 171 125 -203
OemQuestion Back 3 -3 171 141 3962 3791
Back N -3 7 141 140 1342 1201
N Back 3 -7 140 94 1357 1217
Back Return -2 1 94 140 2106 2012
Return Return 0 0 140 78 1810 1670
Return LShiftKey -1 12 78 530 811 733
LShiftKey I 2 -8 530 140 390 -140
I T 0 3 140 141 296 156
T Space -3 1 141 140 125 -16
Space S 2 2 140 187 187 47
S T 1 -3 187 172 359 172
T A -1 4 172 187 94 -78
A R 1 -3 187 125 296 109
R T 0 -1 125 187 234 109
T E 0 2 187 125 109 -78
E D -1 0 125 125 281 156
D Space -2 -1 125 156 156 31
Space B 1 -1 156 156 608 452
B E 2 2 156 156 266 110
E F -1 -1 156 141 280 124
F O 1 -5 141 110 312 171
O R 0 5 110 171 63 -47
R E 0 1 171 125 93 -78
E Space -3 -1 125 156 125 0
Space LShiftKey 1 4 156 218 203 47
LShiftKey I 2 -8 218 156 140 -78
I Space -3 4 156 140 94 -62
Space W 3 2 140 187 156 16
W A -1 1 187 156 125 -62
A S 0 -1 156 109 218 62
S Space -2 -2 109 156 156 47
Space B 1 -1 156 156 359 203
B O 2 -4 156 172 187 31
O R 0 5 172 125 234 62
R N -2 -2 125 125 437 312
N OemPeriod 0 -3 125 125 546 421
OemPeriod Space -1 5 125 124 2434 2309
Space LShiftKey 1 4 124 312 62 -62
LShiftKey M 0 -7 312 125 203 -109
M Y 2 1 125 125 312 187
Y Space -3 2 125 109 78 -47
Space B 1 -1 109 125 577 468
B I 2 -3 125 124 172 47
I O 0 -1 124 94 202 78
O L -1 0 94 109 188 94
L O 1 0 109 78 218 109
O G -1 4 78 141 218 140
G I 1 -3 141 141 125 -16
I V -2 4 141 156 312 171
V A 1 3 156 125 109 -47
A Back 2 -12 125 93 344 219
Back Back 0 0 93 125 171 78
Back C -3 10 125 172 78 -47
C A 1 2 172 125 94 -78
A L 0 -8 125 156 811 686
L Space -2 5 156 140 94 -62
Space M 1 -3 140 203 218 78
M O 2 -2 203 172 109 -94
O T 0 4 172 156 219 47
T H -1 -1 156 125 249 93
H E 1 3 125 156 109 -16
E R 0 -1 156 140 94 -62
R Space -3 0 140 140 484 344
Space W 3 2 140 218 156 16
W A -1 1 218 172 93 -125
A S 0 -1 172 109 250 78
S A 0 1 109 110 249 140
A Space -2 -3 110 172 78 -32
Space Back 4 -9 172 94 780 608
Back Back 0 0 94 156 156 62
Back Space -4 9 156 172 250 94
Space A 2 3 172 141 265 93
A Space -2 -3 141 172 203 62
Space Y 3 -2 172 156 296 124
Y O 0 -3 156 171 110 -46
O U 0 2 171 125 577 406
U N -2 1 125 140 265 140
N G 1 1 140 172 265 125
G Oemcomma -1 -3 172 93 3292 3120
Oemcomma Space -1 4 93 140 265 172
Space U 3 -3 140 140 718 578
U M -2 0 140 141 249 109
M W 2 5 141 202 297 156
W E 0 -1 202 187 93 -109
E D -1 0 187 125 328 141
D Space -2 -1 125 188 1731 1606
Space C 1 1 188 140 406 218
C O 2 -6 140 109 187 47
O L -1 0 109 78 187 78
L L 0 0 78 125 141 63
L E 1 6 125 171 78 -47
E G -1 -2 171 187 140 -31
G E 1 2 187 140 125 -62
E Space -3 -1 140 156 187 47
Space C 1 1 156 125 203 47
C O 2 -6 125 110 140 15
O L -1 0 110 78 188 78
L L 0 0 78 125 140 62
L E 1 6 125 188 62 -63
E G -1 -2 188 140 1280 1092
G E 1 2 140 156 62 -78
E Space -3 -1 156 171 250 94
Space Back 4 -9 171 156 3744 3573
Back N -3 7 156 172 1185 1029
N Back 3 -7 172 124 10593 10421
Back G -2 8 124 140 2808 2684
G R 1 1 140 156 249 109
R A -1 3 156 140 94 -62
A D 0 -2 140 140 234 94
D U 1 -4 140 140 156 16
U A -1 6 140 172 156 16
A T 1 -4 172 188 218 46
T E 0 2 188 156 94 -94
E Space -3 -1 156 156 4493 4337
Space S 2 2 156 171 125 -31
S T 1 -3 171 141 280 109
T U 0 -2 141 140 250 109
U D -1 4 140 172 265 125
D E 1 0 172 172 78 -94
E N -2 -3 172 124 375 203
N T 2 1 124 140 156 32
T Space -3 1 140 125 109 -31
Space Back 4 -9 125 141 1341 1216
Back Oemcomma -3 5 141 125 843 702
Oemcomma Space -1 4 125 125 249 124
Space A 2 3 125 172 203 78
A N -1 -5 172 140 125 -47
N D 1 3 140 140 125 -15
D Space -2 -1 140 156 125 -15
Space S 2 2 156 141 1029 873
S H 0 -4 141 125 265 124
H E 1 3 125 156 78 -47
E D -1 0 156 109 297 141
D Back 2 -10 109 156 577 468
Back Space -4 9 156 156 328 172
Space D 2 1 156 234 234 78
D W 1 1 234 63 171 -63
W E 0 -1 63 156 0 -63
E Back 1 -10 156 156 780 624
Back Back 0 0 156 172 203 47
Back E -1 10 172 172 156 -16
E C -2 0 172 156 343 171
C I 2 -5 156 156 219 63
I D -1 5 156 203 249 93
D E 1 0 203 140 125 -78
E D -1 0 140 187 156 16
D Space -2 -1 187 156 2387 2200
Space T 3 -1 156 156 265 109
T O 0 -4 156 172 156 0
O Space -3 5 172 124 94 -78
Space P 3 -6 124 140 187 63
P U 0 3 140 125 234 94
U T 0 2 125 141 140 15
T Space -3 1 141 156 125 -16
Space M 1 -3 156 140 203 47
M E 2 4 140 156 109 -31
E Space -3 -1 156 141 140 -16
Space U 3 -3 141 171 297 156
U P 0 -3 171 187 78 -93
P Space -3 6 187 140 125 -62
Space F 2 0 140 140 265 125
F O 1 -5 140 156 171 31
O R 0 5 156 140 141 -15
R Space -3 0 140 156 109 -31
Space A 2 3 156 141 187 31
A D 0 -2 141 93 375 234
D O 1 -6 93 172 249 156
O P 0 -1 172 172 78 -94
P T 0 5 172 125 265 93
T I 0 -3 125 156 250 125
I O 0 -1 156 125 78 -78
O M -2 2 125 109 203 78
M Back 3 -6 109 187 593 484
Back N -3 7 187 109 390 203
N OemPeriod 0 -3 109 125 405 296
OemPeriod Space -1 5 125 172 5382 5257
Space LShiftKey 1 4 172 374 125 -47
LShiftKey S 1 -2 374 203 218 -156
S H 0 -4 203 141 624 421
H E 1 3 141 172 94 -47
E Space -3 -1 172 141 218 46
Space F 2 0 141 203 250 109
F E 1 1 203 172 109 -94
E L -1 -6 172 141 265 93
L T 1 4 141 156 203 62
T Space -3 1 156 172 234 78
Space V 1 0 172 202 1155 983
V E 2 1 202 172 140 -62
E R 0 -1 172 140 281 109
R Y 0 -2 140 171 156 16
Y Space -3 2 171 156 78 -93
Space S 2 2 156 172 187 31
S T 1 -3 172 125 281 109
T R 0 1 125 156 312 187
R O 0 -5 156 109 187 31
O M -2 2 109 156 234 125
M G 1 2 156 141 452 296
G L 0 -4 141 125 234 93
L Y 1 3 125 141 437 312
Y Space -3 2 141 156 109 -32
Space T 3 -1 156 172 1482 1326
T H -1 -1 172 141 156 -16
H A 0 5 141 141 125 -16
A T 1 -4 141 141 78 -63
T Space -3 1 141 187 172 31
Space LShiftKey 1 4 187 203 171 -16
LShiftKey I 2 -8 203 156 125 -78
I Space -3 4 156 140 94 -62
Space S 2 2 140 156 203 63
S H 0 -4 156 188 124 -32
H O 1 -3 188 156 110 -78
O U 0 2 156 109 187 31
U L -1 -2 109 109 218 109
L D 0 6 109 125 172 63
D Space -2 -1 125 219 374 249
Space B 1 -1 219 187 515 296
B E 2 2 187 172 421 234
E Space -3 -1 172 203 265 93
Space A 2 3 203 156 203 0
A D 0 -2 156 156 250 94
D O 1 -6 156 187 421 265
O P 0 -1 187 172 109 -78
P T 0 5 172 219 265 93
T E 0 2 219 140 172 -47
E D -1 0 140 140 250 110
D Space -2 -1 140 218 312 172
Space B 1 -1 218 156 499 281
B Y 2 -1 156 172 249 93
Y Space -3 2 172 156 94 -78
Space C 1 1 156 156 421 265
C O 2 -6 156 125 125 -31
O L -1 0 125 94 218 93
L L 0 0 94 156 156 62
L E 1 6 156 218 266 110
E G -1 -2 218 218 296 78
G E 1 2 218 141 109 -109
E Space -3 -1 141 203 1045 904
Space G 2 -1 203 156 281 78
G R 1 1 156 156 281 125
R A -1 3 156 124 94 -62
A D 0 -2 124 124 234 110
D U 1 -4 124 140 187 63
U A -1 6 140 156 93 -47
A T 1 -4 156 187 188 32
T E 0 2 187 156 78 -109
E S -1 1 156 125 296 140
S Oemcomma -1 -6 125 124 1576 1451
Oemcomma Space -1 4 124 141 249 125
Space S 2 2 141 172 281 140
S O 1 -7 172 187 172 0
O Space -3 5 187 156 202 15
Space E 3 1 156 172 2434 2278
E V -2 -1 172 156 281 109
V E 2 1 156 125 109 -47
E R 0 -1 125 156 187 62
R Y 0 -2 156 125 328 172
Y T 0 1 125 156 156 31
T H -1 -1 156 172 218 62
H I 1 -2 172 171 94 -78
I N -2 2 171 172 265 94
N G 1 1 172 140 546 374
G Space -2 1 140 172 109 -31
Space W 3 2 172 218 1857 1685
W A -1 1 218 171 109 -109
A S 0 -1 171 125 265 94
S Space -2 -2 125 156 187 62
Space A 2 3 156 125 203 47
A L 0 -8 125 93 125 0
L L 0 0 93 141 171 78
L Space -2 5 141 156 78 -63
Space S 2 2 156 171 141 -15
S E 1 -1 171 172 140 -31
E T 0 -2 172 156 749 577
T Space -3 1 156 203 265 109
Space F 2 0 203 141 265 62
F O 1 -5 141 156 110 -31
O R 0 5 156 156 187 31
R Space -3 0 156 124 125 -31
Space M 1 -3 124 140 234 110
M E 2 4 140 171 109 -31
E Space -3 -1 171 156 187 16
Space T 3 -1 156 171 4462 4306
