D0 D9 0 1 156 125 93 -63
E T 0 -2 94 140 250 156
T H -1 -1 140 125 62 -78
H I 1 -2 125 110 140 15
I N -2 2 110 125 63 -47
N G 1 1 125 93 156 31
G Space -2 1 93 94 109 16
Space L 2 -5 94 171 640 546
L I 1 1 171 109 93 -78
I K -1 0 109 62 203 94
K E 1 5 62 94 109 47
E RShiftKey -2 -8 94 453 265 171
RShiftKey Oem1 1 1 453 156 188 -265
Oem1 Space -2 6 156 94 218 62
Space RShiftKey 1 -7 94 265 203 109
RShiftKey Oem7 1 0 265 140 125 -140
Oem7 RShiftKey -1 0 140 296 2948 2808
RShiftKey I 2 3 296 109 156 -140
I F -1 4 109 62 234 125
F Space -2 0 62 94 140 78
Space Y 3 -2 94 63 203 109
Y O 0 -3 63 125 109 46
O U 0 2 125 109 63 -62
U Space -3 3 109 94 140 31
Space L 2 -5 94 156 187 93
L I 1 1 156 110 78 -78
I V -2 4 110 187 110 0
V E 2 1 187 110 124 -63
E Space -3 -1 110 78 110 0
Space E 3 1 78 156 1248 1170
E A -1 2 156 156 109 -47
A C -1 -2 156 78 218 62
C H 1 -3 78 78 109 31
H Space -2 2 78 78 94 16
Space D 2 1 78 141 265 187
D A 0 2 141 125 94 -47
A Y 1 -5 125 78 327 202
Y Space -3 2 78 78 1014 936
Space A 2 3 78 125 281 203
A S 0 -1 125 140 63 -62
S Space -2 -2 140 94 218 78
Space I 3 -4 94 109 718 624
I F -1 4 109 78 124 15
F Space -2 0 78 109 94 16
Space I 3 -4 109 94 187 78
I T 0 3 94 78 109 15
T Space -3 1 78 93 110 32
Space W 3 2 93 94 249 156
W A -1 1 94 156 78 -16
A S 0 -1 156 94 109 -47
S Space -2 -2 94 78 125 31
Space Y 3 -2 78 63 234 156
Y O 0 -3 63 140 94 31
O U 0 2 140 93 78 -62
U R 0 3 93 78 109 16
R Space -3 0 78 94 109 31
Space L 2 -5 94 62 203 109
L A 0 8 62 250 31 -31
A S 0 -1 250 140 141 -109
S T 1 -3 140 109 78 -62
T Oemcomma -2 -3 109 125 2137 2028
Oemcomma Space -1 4 125 78 842 717
Space S 2 2 78 62 484 406
S O 1 -7 62 46 359 297
O M -2 2 46 93 0 -46
M E 2 4 93 78 1107 1014
E D -1 0 78 156 250 172
D A 0 2 156 141 93 -63
A Y 1 -5 141 93 344 203
Y Space -3 2 93 93 811 718
Space Y 3 -2 93 94 452 359
Y O 0 -3 94 124 297 203
O U 0 2 124 156 31 -93
U Oem7 -1 -4 156 109 1451 1295
Oem7 L 0 2 109 78 249 140
L L 0 0 78 93 141 63
L Space -2 5 93 78 1185 1092
Space M 1 -3 78 172 1248 1170
M S 1 5 172 140 219 47
S T 1 -3 140 94 93 -47
T Space -3 1 94 94 125 31
Space C 1 1 94 109 203 109
C E 2 0 109 125 171 62
E R 0 -1 125 63 78 -47
R T 0 -1 63 93 141 78
T A -1 4 93 109 156 63
A I 1 -7 109 156 62 -47
I N -2 2 156 93 94 -62
N L 1 -3 93 94 171 78
L Y 1 3 94 62 94 0
Y Space -3 2 62 94 78 16
Space B 1 -1 94 203 140 46
B E 2 2 203 78 156 -47
E Space -3 -1 78 93 141 63
Space R 3 0 93 78 109 16
R I 0 -4 78 94 109 31
I G -1 3 94 124 141 47
G H 0 -1 124 187 78 -46
H T 1 1 187 125 124 -63
T OemPeriod -2 -4 125 63 1295 1170
OemPeriod RShiftKey 0 -2 63 343 281 218
RShiftKey Oem7 1 0 343 156 187 -156
Oem7 Space -2 7 156 78 624 468
Space RShiftKey 1 -7 78 296 141 63
RShiftKey I 2 3 296 125 171 -125
I T 0 3 125 62 172 47
T Space -3 1 62 140 125 63
Space M 1 -3 140 93 187 47
M A 1 6 93 156 93 0
A D 0 -2 156 172 125 -31
D E 1 0 172 125 109 -63
E Space -3 -1 125 93 110 -15
Space M 1 -3 93 93 624 531
M E 2 4 93 94 93 0
E Space -3 -1 94 94 109 15
Space Back 4 -9 94 94 437 343
Back Back 0 0 94 78 172 78
Back Back 0 0 78 109 718 640
Back A -2 12 109 94 249 140
A N -1 -5 94 94 109 15
N Space -1 2 94 94 156 62
Space I 3 -4 94 125 546 452
I M -2 1 125 94 78 -47
M P 2 -3 94 93 219 125
P R 0 6 93 140 78 -15
R E 0 1 140 109 78 -62
E S -1 1 109 63 218 109
S S 0 0 63 94 125 62
S I 1 -6 94 125 62 -32
I O 0 -1 125 203 78 -47
O N -2 3 203 109 141 -62
N Space -1 2 109 94 1544 1435
Space O 3 -5 94 156 141 47
O N -2 3 156 109 78 -78
N Space -1 2 109 62 109 0
Space M 1 -3 62 94 109 47
M E 2 4 94 94 156 62
E Oemcomma -2 -5 94 110 218 124
Oemcomma Space -1 4 110 93 141 31
Space A 2 3 93 141 1232 1139
A N -1 -5 141 78 125 -16
N D 1 3 78 94 78 0
D Space -2 -1 94 109 109 15
Space S 2 2 109 93 94 -15
S I 1 -6 93 125 109 16
I N -2 2 125 125 62 -63
N C 0 3 125 171 110 -15
C E 2 0 171 110 124 -47
E Space -3 -1 110 94 203 93
Space T 3 -1 94 140 359 265
T H -1 -1 140 109 78 -62
H E 1 3 109 78 203 94
E N -2 -3 78 110 93 15
N Oemcomma 0 -2 110 93 266 156
Oemcomma Space -1 4 93 93 78 -15
Space F 2 0 93 94 218 125
F O 1 -5 94 109 109 15
O R 0 5 109 78 94 -15
R Space -3 0 78 93 125 47
Space T 3 -1 93 125 124 31
T H -1 -1 125 109 63 -62
H E 1 3 109 109 187 78
E Space -3 -1 109 94 78 -31
Space P 3 -6 94 109 203 109
P A -1 9 109 234 93 -16
A S 0 -1 234 171 110 -124
S T 1 -3 171 109 109 -62
T Space -3 1 109 94 187 78
Space D3 4 1 94 63 967 873
D3 D3 0 0 63 93 141 78
D3 Space -4 -1 93 78 156 63
Space Y 3 -2 78 78 124 46
Y E 0 3 78 172 234 156
E A -1 2 172 202 110 -62
A R 1 -3 202 202 156 -46
R S -1 2 202 156 124 -78
S Oemcomma -1 -6 156 125 2496 2340
Oemcomma Space -1 4 125 110 156 31
Space RShiftKey 1 -7 110 218 172 62
RShiftKey I 2 3 218 125 140 -78
I Space -3 4 125 93 110 -15
Space H 2 -2 93 93 156 63
H A 0 5 93 125 93 0
A V -1 -3 125 156 156 31
V E 2 1 156 109 94 -62
E Space -3 -1 109 93 78 -31
Space L 2 -5 93 94 171 78
L O 1 0 94 62 219 125
O O 0 0 62 141 140 78
O K -1 1 141 140 47 -94
K E 1 5 140 63 187 47
E D -1 0 63 109 156 93
D Space -2 -1 109 94 1092 983
Space I 3 -4 94 140 219 125
I N -2 2 140 78 78 -62
N Space -1 2 78 94 62 -16
Space T 3 -1 94 93 172 78
T H -1 -1 93 78 62 -31
H E 1 3 78 94 156 78
E Space -3 -1 94 78 94 0
Space M 1 -3 78 140 156 78
M I 2 -1 140 124 78 -62
I R 0 4 124 62 109 -15
R R 0 0 62 78 140 78
R O 0 -5 78 78 94 16
O R 0 5 78 78 93 15
R Space -3 0 78 93 110 32
Space E 3 1 93 125 811 718
E V -2 -1 125 93 78 -47
V E 2 1 93 124 203 110
E R 0 -1 124 93 78 -46
R Y 0 -2 93 78 873 780
Y D -1 3 78 125 265 187
D A 0 2 125 109 94 -31
A Y 1 -5 109 94 218 109
Y Back 1 -7 94 78 3713 3619
Back Back 0 0 78 78 187 109
Back Back 0 0 78 62 172 94
Back Back 0 0 62 62 156 94
Back Back 0 0 62 47 140 78
Back Back 0 0 47 47 172 125
Back Back 0 0 47 63 140 93
Back V -3 9 63 62 890 827
V E 2 1 62 124 156 94
E R 0 -1 124 94 46 -78
R Y 0 -2 94 63 203 109
Y Space -3 2 63 63 109 46
Space M 1 -3 63 141 156 93
M O 2 -2 141 109 94 -47
O R 0 5 109 78 78 -31
R N -2 -2 78 124 94 16
N I 2 -2 124 187 93 -31
I N -2 2 187 94 125 -62
N G 1 1 94 78 94 0
G Space -2 1 78 93 1560 1482
Space A 2 3 93 109 265 172
A N -1 -5 109 63 140 31
N D 1 3 63 94 78 15
D Space -2 -1 94 109 78 -16
Space A 2 3 109 187 78 -31
A S 0 -1 187 203 78 -109
S K 0 -6 203 93 63 -140
K E 1 5 93 78 124 31
E D -1 0 78 78 156 78
D Space -2 -1 78 78 94 16
Space M 1 -3 78 94 156 78
M Y 2 1 94 78 94 0
Y S -1 4 78 171 234 156
S E 1 -1 171 109 93 -78
E L -1 -6 109 78 156 47
L F 0 5 78 78 109 31
F RShiftKey -1 -7 78 281 1810 1732
RShiftKey Oem1 1 1 281 94 156 -125
Oem1 Space -2 6 94 78 125 31
Space RShiftKey 1 -7 78 202 125 47
RShiftKey Oem7 1 0 202 124 78 -124
Oem7 RShiftKey -1 0 124 344 826 702
RShiftKey I 2 3 344 109 219 -125
I F -1 4 109 78 203 94
F Space -2 0 78 78 78 0
Space T 3 -1 78 47 514 436
T O 0 -4 47 78 141 94
O D -1 6 78 141 140 62
D A 0 2 141 125 94 -47
A Y 1 -5 125 78 109 -16
Y Space -3 2 78 62 94 16
Space W 3 2 62 62 1170 1108
W E 0 -1 62 125 171 109
E R 0 -1 125 171 63 -62
R E 0 1 171 109 109 -62
E Space -3 -1 109 93 125 16
Space T 3 -1 93 110 124 31
T H -1 -1 110 93 63 -47
H E 1 3 93 94 171 78
E Space -3 -1 94 94 94 0
Space L 2 -5 94 78 172 78
L A 0 8 78 219 46 -32
A S 0 -1 219 140 141 -78
S T 1 -3 140 78 125 -15
T Space -3 1 78 93 187 109
Space D 2 1 93 140 577 484
D A 0 2 140 109 94 -46
A Y 1 -5 109 78 280 171
Y Space -3 2 78 78 110 32
Space O 3 -5 78 78 140 62
O F -1 5 78 78 62 -16
F Space -2 0 78 78 125 47
Space M 1 -3 78 78 156 78
M Y 2 1 78 63 78 0
Y Space -3 2 63 109 94 31
Space L 2 -5 109 140 234 125
L I 1 1 140 93 78 -62
I F -1 4 93 156 93 0
F E 1 1 156 124 110 -46
E Oemcomma -2 -5 124 109 858 734
Oemcomma Space -1 4 109 94 93 -16
Space W 3 2 94 94 265 171
W O 0 -7 94 156 94 0
O U 0 2 156 109 109 -47
U L -1 -2 109 94 156 47
L D 0 6 94 94 125 31
D Space -2 -1 94 109 827 733
Space RShiftKey 1 -7 109 1014 265 156
RShiftKey I 2 3 1014 93 905 -109
I Space -3 4 93 78 156 63
Space W 3 2 78 125 374 296
W A -1 1 125 125 78 -47
A N -1 -5 125 110 109 -16
N T 2 1 110 78 141 31
T Space -3 1 78 109 78 0
Space T 3 -1 109 78 93 -16
T O 0 -4 78 78 125 47
O Space -3 5 78 94 125 47
Space D 2 1 94 78 499 405
D O 1 -6 78 94 125 47
O Space -3 5 94 78 78 -16
Space W 3 2 78 78 1310 1232
W H -1 -4 78 109 125 47
H A 0 5 109 124 141 32
A T 1 -4 124 94 93 -31
T Space -3 1 94 94 109 15
Space RShiftKey 1 -7 94 218 250 156
RShiftKey I 2 3 218 109 125 -93
I Space -3 4 109 93 78 -31
Space A 2 3 93 109 187 94
A M -1 -6 109 78 78 -31
M Space -1 3 78 93 94 16
Space D 2 1 93 78 156 63
D O 1 -6 78 140 62 -16
O I 0 1 140 93 94 -46
I N -2 2 93 110 202 109
N G 1 1 110 62 110 0
G Space -2 1 62 94 93 31
Space T 3 -1 94 78 78 -16
T O 0 -4 78 94 109 31
O D -1 6 94 125 125 31
D A 0 2 125 125 78 -47
A Y 1 -5 125 78 234 109
Y OemPeriod -2 -3 78 78 172 94
OemPeriod Space -1 5 78 78 125 47
Space Back 4 -9 78 62 889 811
Back Back 0 0 62 78 140 78
Back RShiftKey -3 2 78 249 328 250
RShiftKey OemQuestion 0 1 249 109 140 -109
OemQuestion RShiftKey 0 -1 109 188 499 390
RShiftKey Oem7 1 0 188 109 63 -125
Oem7 Space -2 7 109 78 2012 1903
Space A 2 3 78 109 203 125
A N -1 -5 109 78 94 -15
N D 1 3 78 62 109 31
D Space -2 -1 62 78 62 0
Space RShiftKey 1 -7 78 140 172 94
RShiftKey W 2 9 140 78 125 -15
W H -1 -4 78 94 124 46
H E 1 3 94 94 203 109
E N -2 -3 94 78 141 47
N V 0 2 78 78 171 93
V E 2 1 78 125 172 94
E R 0 -1 125 47 109 -16
R Space -3 0 47 78 78 31
Space Back 4 -9 78 110 5522 5444
Back RShiftKey -3 2 110 327 344 234
RShiftKey A 1 10 327 93 156 -171
A Space -2 -3 93 94 7378 7285
Space T 3 -1 94 125 172 78
T H -1 -1 125 94 78 -47
H E 1 3 94 78 203 109
E Space -3 -1 78 78 109 31
Space A 2 3 78 109 94 16
A N -1 -5 109 78 109 0
N S 1 4 78 93 78 0
S W 1 0 93 63 171 78
W E 0 -1 63 125 172 109
E R 0 -1 125 94 78 -47
R Space -3 0 94 62 94 0
Space H 2 -2 62 78 140 78
H A 0 5 78 156 16 -62
A S 0 -1 156 94 93 -63
S Space -2 -2 94 78 78 -16
Space B 1 -1 78 94 156 78
B E 2 2 94 63 78 -16
E E 0 0 63 93 141 78
E N -2 -3 93 94 124 31
N Space -1 2 94 93 219 125
Space RShiftKey 1 -7 93 936 795 702
RShiftKey Oem7 1 0 936 156 172 -764
Oem7 N -1 5 156 78 234 78
N O 2 -3 78 94 764 686
O RShiftKey -2 -2 94 296 266 172
RShiftKey Oem7 1 0 296 141 124 -172
Oem7 Space -2 7 141 78 734 593
Space F 2 0 78 78 327 249
F O 1 -5 78 109 141 63
O R 0 5 109 78 124 15
R Space -3 0 78 93 141 63
Space T 3 -1 93 109 109 16
T O 0 -4 109 78 140 31
O O 0 0 78 110 156 78
O Space -3 5 110 109 110 0
Space M 1 -3 109 124 390 281
M A 1 6 124 93 156 32
A N -1 -5 93 109 93 0
N Y 2 0 109 78 187 78
Y Space -3 2 78 94 78 0
Space D 2 1 94 172 203 109
D A 0 2 172 141 109 -63
A Y 1 -5 141 78 125 -16
Y S -1 4 78 78 109 31
S Space -2 -2 78 94 94 16
Space I 3 -4 94 109 187 93
I N -2 2 109 109 47 -62
N Space -1 2 109 78 140 31
Space A 2 3 78 94 156 78
A Space -2 -3 94 78 125 31
Space R 3 0 78 63 156 78
R O 0 -5 63 94 125 62
O W 0 7 94 94 156 62
W Oemcomma -2 -6 94 93 952 858
Oemcomma Space -1 4 93 78 124 31
Space RShiftKey 1 -7 78 203 141 63
RShiftKey I 2 3 203 110 93 -110
I Space -3 4 110 63 125 15
Space K 2 -4 63 140 141 78
K N -1 2 140 78 93 -47
N O 2 -3 78 109 141 63
O W 0 7 109 78 109 0
W Space -3 -2 78 93 78 0
Space RShiftKey 1 -7 93 203 187 94
RShiftKey I 2 3 203 93 94 -109
I Space -3 4 93 94 93 0
Space N 1 -2 94 78 141 47
N E 2 3 78 78 109 31
E E 0 0 78 78 140 62
E D -1 0 78 109 156 78
D Space -2 -1 109 78 109 0
Space T 3 -1 78 63 125 47
T O 0 -4 63 78 78 15
O Space -3 5 78 93 94 16
Space C 1 1 93 94 187 94
C H 1 -3 94 94 78 -16
H A 0 5 94 93 125 31
A N -1 -5 93 93 78 -15
N G 1 1 93 156 78 -15
G E 1 2 156 94 93 -63
E Space -3 -1 94 110 78 -16
Space S 2 2 110 94 125 15
S O 1 -7 94 109 78 -16
O M -2 2 109 93 63 -46
M E 2 4 93 62 78 -15
E T 0 -2 62 156 280 218
T H -1 -1 156 94 94 -62
H I 1 -2 94 125 62 -32
I N -2 2 125 125 63 -62
N G 1 1 125 78 140 15
G OemPeriod -1 -4 78 93 484 406
OemPeriod Return 1 -3 93 94 249 156
Return Return 0 0 94 110 234 140
Return Return 0 0 110 94 250 140
Return RShiftKey -1 1 94 234 2948 2854
RShiftKey R 2 7 234 94 125 -109
R E 0 1 94 109 156 62
E M -2 -4 109 94 187 78
M E 2 4 94 94 593 499
E M -2 -4 94 94 156 62
M B 0 2 94 63 109 15
B E 2 2 63 110 156 93
E R 0 -1 110 78 63 -47
R I 0 -4 78 110 93 15
I N -2 2 110 78 63 -47
N G 1 1 78 78 78 0
G Space -2 1 78 110 93 15
Space T 3 -1 110 125 1373 1263
T H -1 -1 125 62 94 -31
H A 0 5 62 124 203 141
A T 1 -4 124 78 78 -46
T Space -3 1 78 94 93 15
Space RShiftKey 1 -7 94 234 172 78
RShiftKey I 2 3 234 78 109 -125
I Oem7 -1 -3 78 156 234 156
Oem7 L 0 2 156 78 343 187
L L 0 0 78 94 156 78
L Space -2 5 94 94 858 764
Space B 1 -1 94 156 843 749
B E 2 2 156 110 124 -32
E Space -3 -1 110 78 156 46
Space D 2 1 78 78 94 16
D E 1 0 78 109 156 78
E A -1 2 109 156 94 -15
A D 0 -2 156 109 109 -47
D Space -2 -1 109 78 109 0
Space S 2 2 78 94 140 62
S O 1 -7 94 62 94 0
O O 0 0 62 156 156 94
O N -2 3 156 125 78 -78
N Space -1 2 125 78 156 31
Space I 3 -4 78 125 125 47
I S -1 6 125 94 109 -16
S Space -2 -2 94 94 109 15
Space T 3 -1 94 141 187 93
T H -1 -1 141 94 94 -47
H E 1 3 94 93 172 78
E Space -3 -1 93 62 78 -15
Space M 1 -3 62 156 156 94
M O 2 -2 156 109 78 -78
O S -1 7 109 140 62 -47
S T 1 -3 140 94 78 -62
T Space -3 1 94 109 78 -16
Space I 3 -4 109 109 172 63
I M -2 1 109 109 62 -47
M P 2 -3 109 141 218 109
P O 0 1 141 109 63 -78
O R 0 5 109 109 109 0
R T 0 -1 109 94 62 -47
T A -1 4 94 125 156 62
A N -1 -5 125 140 141 16
N T 2 1 140 94 171 31
T Space -3 1 94 109 718 624
Space T 3 -1 109 109 125 16
T O 0 -4 109 78 125 16
O O 0 0 78 94 140 62
O L -1 0 94 93 172 78
L Space -2 5 93 78 78 -15
Space RShiftKey 1 -7 78 172 140 62
RShiftKey I 2 3 172 93 94 -78
I Oem7 -1 -3 93 78 234 141
Oem7 V -1 7 78 141 171 93
V E 2 1 141 93 94 -47
E Space -3 -1 93 78 93 0
Space E 3 1 78 125 125 47
E V -2 -1 125 93 94 -31
V E 2 1 93 125 156 63
E R 0 -1 125 78 78 -47
R Space -3 0 78 78 125 47
Space E 3 1 78 93 234 156
E N -2 -3 93 93 109 16
N C 0 3 93 94 109 16
C O 2 -6 94 140 125 31
O U 0 2 140 93 78 -62
U T 0 2 93 78 125 32
T N -2 -1 78 93 78 0
N E 2 3 93 141 93 0
E R 0 -1 141 203 78 -63
R E 0 1 203 140 125 -78
E D -1 0 140 125 218 78
D Space -2 -1 125 78 110 -15
Space T 3 -1 78 94 280 202
T O 0 -4 94 93 110 16
O Space -3 5 93 78 109 16
Space H 2 -2 78 78 171 93
H E 1 3 78 94 172 94
E L -1 -6 94 156 31 -63
L P 1 -1 156 125 78 -78
P Space -3 6 125 125 109 -16
Space M 1 -3 125 109 172 47
M E 2 4 109 109 109 0
E Space -3 -1 109 63 109 0
Space M 1 -3 63 94 156 93
M A 1 6 94 110 78 -16
A K 0 -7 110 78 125 15
K E 1 5 78 93 94 16
E Space -3 -1 93 78 109 16
Space T 3 -1 78 125 203 125
T H -1 -1 125 109 62 -63
H E 1 3 109 93 219 110
E Space -3 -1 93 93 78 -15
Space B 1 -1 93 78 234 141
B I 2 -3 78 93 156 78
I G -1 3 93 78 124 31
G Space -2 1 78 94 78 0
Space C 1 1 94 93 141 47
C H 1 -3 93 93 78 -15
H O 1 -3 93 140 203 110
O I 0 1 140 109 62 -78
I C -2 5 109 109 94 -15
C E 2 0 109 78 202 93
E S -1 1 78 78 188 110
S Space -2 -2 78 94 46 -32
Space I 3 -4 94 125 141 47
I N -2 2 125 93 78 -47
N Space -1 2 93 63 93 0
Space L 2 -5 63 125 141 78
L I 1 1 125 109 47 -78
I F -1 4 109 156 109 0
F E 1 1 156 109 109 -47
E OemPeriod -2 -6 109 93 406 297
OemPeriod Space -1 5 93 78 109 16
Space RShiftKey 1 -7 78 296 234 156
RShiftKey B 0 6 296 78 203 -93
B E 2 2 78 109 171 93
E C -2 0 109 156 156 47
C A 1 2 156 141 109 -47
A U 1 -6 141 109 125 -16
U S -1 5 109 109 156 47
S E 1 -1 109 109 47 -62
E Space -3 -1 109 78 156 47
Space A 2 3 78 78 250 172
A L 0 -8 78 93 78 0
L M -1 2 93 141 171 78
M O 2 -2 141 109 78 -63
O S -1 7 109 125 94 -15
S T 1 -3 125 93 78 -47
T Space -3 1 93 78 78 -15
Space E 3 1 78 140 109 31
E V -2 -1 140 109 125 -15
V E 2 1 109 140 156 47
E R 0 -1 140 94 93 -47
R Y 0 -2 94 78 203 109
Y T 0 1 78 125 187 109
T H -1 -1 125 125 63 -62
H I 1 -2 125 141 93 -32
I N -2 2 141 125 78 -63
N G 1 1 125 109 125 0
G Space -2 1 109 109 156 47
Space Back 4 -9 109 109 500 391
Back Space -4 9 109 78 639 530
Space OemMinus 4 -7 78 93 141 63
OemMinus Space -4 7 93 93 78 -15
Space A 2 3 93 94 514 421
A L 0 -8 94 63 156 62
L L 0 0 63 63 156 93
L Space -2 5 63 94 47 -16
Space E 3 1 94 94 281 187
E C -2 0 94 78 234 140
C T 2 -2 78 78 187 109
T E 0 2 78 156 141 63
E R 0 -1 156 124 78 -78
R N -2 -2 124 94 93 -31
N A 1 5 94 109 156 62
A L 0 -8 109 109 156 47
L Space -2 5 109 94 125 16
Space E 3 1 94 93 359 265
E X -2 1 93 78 234 141
X P 2 -8 78 124 125 47
P E 0 7 124 78 124 0
E C -2 0 78 63 390 312
C T 2 -2 63 63 203 140
T A -1 4 63 156 234 171
A T 1 -4 156 93 94 -62
T I 0 -3 93 125 109 16
I O 0 -1 125 218 94 -31
O N -2 3 218 125 124 -94
N S 1 4 125 110 312 187
S Oemcomma -1 -6 110 109 406 296
Oemcomma Space -1 4 109 94 78 -31
Space A 2 3 94 109 172 78
A L 0 -8 109 62 62 -47
L L 0 0 62 110 140 78
L Space -2 5 110 94 94 -16
Space P 3 -6 94 93 125 31
P R 0 6 93 93 78 -15
R I 0 -4 93 94 140 47
I D -1 5 94 172 187 93
D E 1 0 172 125 94 -78
E Oemcomma -2 -5 125 109 733 608
Oemcomma Space -1 4 109 94 78 -31
Space A 2 3 94 125 187 93
A L 0 -8 125 62 63 -62
L L 0 0 62 94 140 78
L Space -2 5 94 93 63 -31
Space F 2 0 93 78 202 109
F E 1 1 78 125 219 141
E A -1 2 125 203 78 -47
A R 1 -3 203 94 140 -63
R Space -3 0 94 109 1170 1076
Space O 3 -5 109 109 375 266
O F -1 5 109 93 109 0
F Space -2 0 93 109 125 32
Space E 3 1 109 109 499 390
E M -2 -4 109 109 125 16
M B 0 2 109 109 171 62
B A 1 4 109 93 172 63
A R 1 -3 93 78 171 78
R R 0 0 78 156 110 32
R A -1 3 156 171 390 234
A S 0 -1 171 109 140 -31
S S 0 0 109 109 1435 1326
S M -1 -5 109 125 203 94
M E 2 4 125 93 125 0
E N -2 -3 93 109 109 16
N Space -1 2 109 109 265 156
Space O 3 -5 109 94 811 702
O R 0 5 94 63 125 31
R Space -3 0 63 125 78 15
Space F 2 0 125 78 125 0
F A 0 3 78 93 172 94
A I 1 -7 93 94 93 0
I L -1 -1 94 78 187 93
L U 1 2 78 109 203 125
U R 0 3 109 140 141 32
R E 0 1 140 125 93 -47
E Space -3 -1 125 78 1467 1342
Space OemMinus 4 -7 78 94 93 15
OemMinus Space -4 7 94 94 78 -16
Space T 3 -1 94 156 265 171
T H -1 -1 156 94 94 -62
H E 1 3 94 141 265 171
E S -1 1 141 171 94 -47
S E 1 -1 171 94 109 -62
E Space -3 -1 94 94 140 46
Space T 3 -1 94 140 188 94
T H -1 -1 140 109 78 -62
H I 1 -2 109 109 93 -16
I N -2 2 109 94 47 -62
N G 1 1 94 141 140 46
G S 0 3 141 125 63 -78
S Space -2 -2 125 78 764 639
Space J 2 -3 78 187 250 172
J U 1 0 187 125 109 -78
U S -1 5 125 156 78 -47
S T 1 -3 156 94 109 -47
T Space -3 1 94 109 78 -16
Space F 2 0 109 187 172 63
F A 0 3 187 124 125 -62
A L 0 -8 124 62 140 16
L L 0 0 62 109 125 63
L Space -2 5 109 109 140 31
Space A 2 3 109 172 343 234
A W 1 -1 172 172 156 -16
W A -1 1 172 141 125 -47
A Y 1 -5 141 110 343 202
Y Space -3 2 110 109 141 31
Space I 3 -4 109 109 203 94
I N -2 2 109 110 46 -63
N Space -1 2 110 78 63 -47
Space T 3 -1 78 93 156 78
T H -1 -1 93 109 47 -46
H E 1 3 109 109 187 78
E Space -3 -1 109 78 125 16
Space F 2 0 78 124 78 0
F A 0 3 124 141 124 0
A C -1 -2 141 156 156 15
C E 2 0 156 109 110 -46
E Space -3 -1 109 110 46 -63
Space O 3 -5 110 124 188 78
O F -1 5 124 94 140 16
