D4 D9 0 -5 140 171 421 281
K E 1 5 156 172 62 -94
E Space -3 -1 172 94 749 577
Space RShiftKey 1 -7 94 234 234 140
RShiftKey Oem7 1 0 234 171 141 -93
Oem7 Space -2 7 171 172 202 31
Space RShiftKey 1 -7 172 702 437 265
RShiftKey RShiftKey 0 0 702 1872 858 156
RShiftKey Oem7 1 0 1872 156 1170 -702
Oem7 Left -2 0 156 141 1279 1123
Left LShiftKey 1 11 141 203 874 733
LShiftKey I 2 -8 203 93 125 -78
I F -1 4 93 110 171 78
F Space -2 0 110 109 63 -47
Space Y 3 -2 109 94 265 156
Y O 0 -3 94 156 156 62
O U 0 2 156 140 94 -62
U Space -3 3 140 124 78 -62
Space L 2 -5 124 110 202 78
L I 1 1 110 78 219 109
I V -2 4 78 78 234 156
V E 2 1 78 124 47 -31
E Space -3 -1 124 141 124 0
Space E 3 1 141 78 110 -31
E A -1 2 78 109 561 483
A C -1 -2 109 125 265 156
C H 1 -3 125 109 94 -31
H Space -2 2 109 140 94 -15
Space D 2 1 140 125 249 109
D A 0 2 125 124 219 94
A Y 1 -5 124 172 62 -62
Y Space -3 2 172 125 140 -32
Space A 2 3 125 187 1186 1061
A S 0 -1 187 172 109 -78
S I 1 -6 172 141 1747 1575
I F -1 4 141 109 94 -47
F Space -2 0 109 110 140 31
Space I 3 -4 110 140 63 -47
I T 0 3 140 109 62 -78
T Space -3 1 109 188 187 78
Space W 3 2 188 78 390 202
W A -1 1 78 187 203 125
A S 0 -1 187 171 94 -93
S Space -2 -2 171 141 140 -31
Space Y 3 -2 141 94 1529 1388
Y O 0 -3 94 109 250 156
O U 0 2 109 187 31 -78
U R 0 3 187 156 343 156
R Space -3 0 156 141 140 -16
Space L 2 -5 141 109 219 78
L A 0 8 109 171 125 16
A S 0 -1 171 171 234 63
S T 1 -3 171 140 78 -93
T Oemcomma -2 -3 140 187 2262 2122
Oemcomma S 1 6 187 94 608 421
S O 1 -7 94 94 78 -16
O M -2 2 94 125 265 171
M E 2 4 125 109 63 -62
E D -1 0 109 94 280 171
D A 0 2 94 156 250 156
A Y 1 -5 156 141 62 -94
Y Y 0 0 141 93 1046 905
Y O 0 -3 93 156 202 109
O U 0 2 156 156 78 -78
U Oem7 -1 -4 156 140 484 328
Oem7 L 0 2 140 94 702 562
L L 0 0 94 109 172 78
L Space -2 5 109 94 374 265
Space M 1 -3 94 93 281 187
M O 2 -2 93 78 249 156
O S -1 7 78 125 297 219
S T 1 -3 125 187 62 -63
T Space -3 1 187 171 172 -15
Space C 1 1 171 156 1825 1654
C E 2 0 156 140 312 156
E R 0 -1 140 172 109 -31
R T 0 -1 172 94 437 265
T A -1 4 94 156 94 0
A I 1 -7 156 109 218 62
I L -1 -1 109 94 265 156
L Back 2 -4 94 156 827 733
Back N -3 7 156 109 312 156
N L 1 -3 109 93 250 141
L Y 1 3 93 109 249 156
Y Space -3 2 109 156 187 78
Space B 1 -1 156 110 1326 1170
B E 2 2 110 141 78 -32
E Space -3 -1 141 140 141 0
Space R 3 0 140 125 109 -31
R I 0 -4 125 94 608 483
I G -1 3 94 94 203 109
G H 0 -1 94 110 109 15
H T 1 1 110 94 94 -16
T OemPeriod -2 -4 94 203 1950 1856
OemPeriod Space -1 5 203 156 3229 3026
Space Space 0 0 156 125 1966 1810
Space Space 0 0 125 125 3666 3541
Space LShiftKey 1 4 125 188 171 46
LShiftKey I 2 -8 188 94 78 -110
I T 0 3 94 94 234 140
T Space -3 1 94 109 141 47
Space M 1 -3 109 110 483 374
M A 1 6 110 172 47 -63
A D 0 -2 172 140 609 437
D E 1 0 140 172 140 0
E Space -3 -1 172 156 858 686
Space A 2 3 156 109 265 109
A N -1 -5 109 109 203 94
N Space -1 2 109 156 78 -31
Space I 3 -4 156 109 343 187
I M -2 1 109 93 250 141
M P 2 -3 93 109 218 125
P R 0 6 109 156 156 47
R E 0 1 156 110 109 -47
E S -1 1 110 78 359 249
S S 0 0 78 109 156 78
S I 1 -6 109 187 125 16
I O 0 -1 187 140 94 -93
O N -2 3 140 140 421 281
N Space -1 2 140 156 109 -31
Space O 3 -5 156 93 562 406
O N -2 3 93 125 249 156
N Space -1 2 125 156 109 -16
Space M 1 -3 156 125 141 -15
M E 2 4 125 109 109 -16
E Oemcomma -2 -5 109 156 2137 2028
Oemcomma Space -1 4 156 109 1295 1139
Space A 2 3 109 125 218 109
A N -1 -5 125 109 297 172
N D 1 3 109 94 249 140
D Space -2 -1 94 78 110 16
Space S 2 2 78 140 218 140
S I 1 -6 140 109 94 -46
I N -2 2 109 125 218 109
N C 0 3 125 140 125 0
C E 2 0 140 93 624 484
E Space -3 -1 93 140 858 765
Space T 3 -1 140 156 156 16
T H -1 -1 156 94 140 -16
H E 1 3 94 156 172 78
E N -2 -3 156 109 125 -31
N Oemcomma 0 -2 109 109 1341 1232
Oemcomma Space -1 4 109 172 203 94
Space F 2 0 172 156 374 202
F O 1 -5 156 156 172 16
O R 0 5 156 156 156 0
R Space -3 0 156 141 577 421
Space T 3 -1 141 109 312 171
T H -1 -1 109 94 109 0
H E 1 3 94 156 125 31
E Space -3 -1 156 141 109 -47
Space P 3 -6 141 156 156 15
P A -1 9 156 172 203 47
A S 0 -1 172 78 125 -47
S T 1 -3 78 110 140 62
T Space -3 1 110 125 1217 1107
Space D3 4 1 125 78 765 640
D3 D3 0 0 78 109 187 109
D3 Space -4 -1 109 171 702 593
Space Y 3 -2 171 156 546 375
Y E 0 3 156 109 125 -31
E R 0 -1 109 109 312 203
R Back 1 -9 109 172 1076 967
Back A -2 12 172 156 608 436
A R 1 -3 156 93 266 110
R S -1 2 93 109 265 172
S OemPeriod -1 -7 109 140 1326 1217
OemPeriod Back 3 -4 140 140 1092 952
Back Oemcomma -3 5 140 125 296 156
Oemcomma Space -1 4 125 125 156 31
Space LShiftKey 1 4 125 203 109 -16
LShiftKey I 2 -8 203 109 172 -31
I Space -3 4 109 124 94 -15
Space H 2 -2 124 94 171 47
H A 0 5 94 125 94 0
A V -1 -3 125 15 312 187
V V 0 0 15 109 468 453
V E 2 1 109 125 312 203
E Space -3 -1 125 93 203 78
Space L 2 -5 93 94 405 312
L O 1 0 94 78 234 140
O O 0 0 78 78 141 63
O K -1 1 78 109 187 109
K E 1 5 109 109 203 94
E D -1 0 109 156 202 93
D Space -2 -1 156 93 656 500
Space I 3 -4 93 141 249 156
I N -2 2 141 141 265 124
N Space -1 2 141 156 141 0
Space T 3 -1 156 141 171 15
T H -1 -1 141 109 141 0
H E 1 3 109 171 78 -31
E Space -3 -1 171 125 109 -62
Space M 1 -3 125 109 203 78
M I 2 -1 109 94 249 140
I R 0 4 94 78 219 125
R R 0 0 78 156 171 93
R O 0 -5 156 140 484 328
O R 0 5 140 125 780 640
R Space -3 0 125 125 296 171
Space E 3 1 125 94 359 234
E V -2 -1 94 110 109 15
V E 2 1 110 110 78 -32
E R 0 -1 110 110 234 124
R Y 0 -2 110 78 110 0
Y Space -3 2 78 156 218 140
Space M 1 -3 156 140 1030 874
M O 2 -2 140 125 265 125
O R 0 5 125 141 561 436
R N -2 -2 141 93 266 125
N I 2 -2 93 109 171 78
I N -2 2 109 125 172 63
N G 1 1 125 141 140 15
G Space -2 1 141 171 687 546
Space A 2 3 171 125 405 234
A N -1 -5 125 110 265 140
N D 1 3 110 109 94 -16
D Space -2 -1 109 156 94 -15
Space A 2 3 156 171 187 31
A S 0 -1 171 140 125 -46
S K 0 -6 140 171 234 94
K E 1 5 171 93 156 -15
E D -1 0 93 140 203 110
D Space -2 -1 140 93 109 -31
Space M 1 -3 93 94 171 78
M Y 2 1 94 78 250 156
Y S -1 4 78 78 250 172
S E 1 -1 78 109 187 109
E L -1 -6 109 172 249 140
L F 0 5 172 109 63 -109
F RShiftKey -1 -7 109 624 936 827
RShiftKey Oem1 1 1 624 140 499 -125
Oem1 RShiftKey -1 -1 140 1139 452 312
RShiftKey Oem7 1 0 1139 343 952 -187
Oem7 Back 2 -2 343 172 858 515
Back Space -4 9 172 109 328 156
Space RShiftKey 1 -7 109 1092 171 62
RShiftKey Oem7 1 0 1092 172 265 -827
Oem7 Oem7 0 0 172 172 484 312
Oem7 Left -2 0 172 156 1030 858
Left Space 0 7 156 125 327 171
Space LShiftKey 1 4 125 218 1857 1732
LShiftKey I 2 -8 218 109 156 -62
I F -1 4 109 140 140 31
F Space -2 0 140 188 62 -78
Space T 3 -1 188 110 390 202
T O 0 -4 110 93 141 31
O D -1 6 93 125 171 78
D A 0 2 125 171 188 63
A Y 1 -5 171 140 78 -93
Y Space -3 2 140 203 93 -47
Space W 3 2 203 140 999 796
W E 0 -1 140 140 78 -62
E R 0 -1 140 94 218 78
R E 0 1 94 109 203 109
E Space -3 -1 109 110 93 -16
Space T 3 -1 110 140 141 31
T E 0 2 140 125 577 437
E H -1 -3 125 187 78 -47
H Space -2 2 187 94 140 -47
Space Back 4 -9 94 110 390 296
Back Back 0 0 110 109 188 78
Back Back 0 0 109 140 702 593
Back H -2 7 140 124 390 250
H E 1 3 124 156 78 -46
E Space -3 -1 156 171 109 -47
Space L 2 -5 171 125 1014 843
L A 0 8 125 156 62 -63
A T 1 -4 156 125 406 250
T Space -3 1 125 140 78 -47
Space D 2 1 140 124 1685 1545
D A 0 2 124 156 218 94
A Y 1 -5 156 94 62 -94
Y Space -3 2 94 187 110 16
Space O 3 -5 187 140 780 593
O F -1 5 140 140 78 -62
F Space -2 0 140 141 93 -47
Space M 1 -3 141 109 250 109
M Y 2 1 109 78 234 125
Y Space -3 2 78 140 265 187
Space L 2 -5 140 93 203 63
L I 1 1 93 93 203 110
I F -1 4 93 140 343 250
F E 1 1 140 171 78 -62
E Oemcomma -2 -5 171 218 2309 2138
Oemcomma Space -1 4 218 156 468 250
Space W 3 2 156 109 468 312
W O 0 -7 109 172 280 171
O U 0 2 172 110 78 -94
U L -1 -2 110 203 250 140
L D 0 6 203 125 140 -63
D Space -2 -1 125 31 203 78
Space Space 0 0 31 110 187 156
Space LShiftKey 1 4 110 219 515 405
LShiftKey I 2 -8 219 110 109 -110
I Space -3 4 110 156 125 15
Space W 3 2 156 125 343 187
W A -1 1 125 172 234 109
A S 0 -1 172 156 78 -94
S N -1 -4 156 171 531 375
N T 2 1 171 110 93 -78
T Space -3 1 110 156 47 -63
Space T 3 -1 156 140 983 827
T O 0 -4 140 187 78 -62
O Space -3 5 187 140 78 -109
Space D 2 1 140 140 281 141
D O 1 -6 140 187 62 -78
O Space -3 5 187 172 109 -78
Space W 3 2 172 125 1186 1014
W H -1 -4 125 109 125 0
H A 0 5 109 156 234 125
A T 1 -4 156 110 249 93
T Space -3 1 110 140 219 109
Space LShiftKey 1 4 140 219 218 78
LShiftKey I 2 -8 219 109 125 -94
I Space -3 4 109 156 156 47
Space A 2 3 156 141 187 31
A M -1 -6 141 218 125 -16
M Space -1 3 218 156 172 -46
Space A 2 3 156 156 1388 1232
A B -1 -4 156 78 203 47
B O 2 -4 78 172 296 218
O U 0 2 172 202 63 -109
U T 0 2 202 156 140 -62
T Space -3 1 156 140 172 16
Space T 3 -1 140 171 468 328
T O 0 -4 171 249 109 -62
O Space -3 5 249 187 140 -109
Space D 2 1 187 156 484 297
D O 1 -6 156 202 47 -109
O Space -3 5 202 172 140 -62
Space E 3 1 172 156 296 124
E V -2 -1 156 124 110 -46
V E 2 1 124 141 202 78
E R 0 -1 141 140 250 109
R Y 0 -2 140 94 109 -31
Y D -1 3 94 93 406 312
D A 0 2 93 140 515 422
A T 1 -4 140 140 109 -31
T Back 1 -8 140 125 1778 1638
Back Back 0 0 125 93 219 94
Back Back 0 0 93 94 171 78
Back Back 0 0 94 94 187 93
Back Back 0 0 94 93 188 94
Back Back 0 0 93 78 202 109
Back Back 0 0 78 78 172 94
Back Back 0 0 78 94 156 78
Back Space -4 9 94 203 733 639
Space T 3 -1 203 125 172 -31
T O 0 -4 125 140 156 31
O D -1 6 140 141 171 31
D A 0 2 141 140 297 156
A Capital 0 1 140 63 15 -125
Capital Y 1 -6 63 124 32 -31
Y Capital -1 6 124 187 1591 1467
Capital Back 2 -13 187 110 249 62
Back A -2 12 110 156 125 15
A Back 2 -12 156 172 671 515
Back Y -1 7 172 140 484 312
Y Right -3 -7 140 140 1669 1529
Right RShiftKey 1 2 140 249 983 843
RShiftKey OemQuestion 0 1 249 172 124 -125
OemQuestion Space -1 6 172 124 734 562
Space Back 4 -9 124 94 1934 1810
Back Back 0 0 94 93 203 109
Back Back 0 0 93 94 187 94
Back RShiftKey -3 2 94 468 530 436
RShiftKey Return 1 -1 468 187 16 -452
Return OemQuestion -1 2 187 156 359 172
OemQuestion Back 3 -3 156 47 639 483
Back Back 0 0 47 78 141 94
Back Back 0 0 78 78 187 109
Back RShiftKey -3 2 78 328 546 468
RShiftKey OemQuestion 0 1 328 202 172 -156
OemQuestion Back 3 -3 202 94 436 234
Back Y -1 7 94 93 1124 1030
Y RShiftKey -2 -5 93 296 2496 2403
RShiftKey OemQuestion 0 1 296 125 187 -109
OemQuestion RShiftKey 0 -1 125 343 296 171
RShiftKey Oem7 1 0 343 202 219 -124
Oem7 Space -2 7 202 187 577 375
Space LShiftKey 1 4 187 234 265 78
LShiftKey A 1 -1 234 140 156 -78
A N -1 -5 140 94 156 16
N D 1 3 94 156 187 93
D Space -2 -1 156 109 141 -15
Space W 3 2 109 109 187 78
W H -1 -4 109 109 140 31
H A 0 5 109 124 141 32
A Back 2 -12 124 140 1326 1202
Back E -1 10 140 171 468 328
E N -2 -3 171 125 187 16
N E 2 3 125 156 281 156
E V -2 -1 156 94 140 -16
V R 2 0 94 125 733 639
R Space -3 0 125 156 343 218
Space T 3 -1 156 110 234 78
T H -1 -1 110 109 94 -16
H E 1 3 109 94 187 78
E Space -3 -1 94 156 94 0
Space A 2 3 156 124 203 47
A N -1 -5 124 125 124 0
N S 1 4 125 94 328 203
S W 1 0 94 172 312 218
W E 0 -1 172 140 94 -78
E R 0 -1 140 156 234 94
R Space -3 0 156 109 686 530
Space H 2 -2 109 94 234 125
H A 0 5 94 156 140 46
A S 0 -1 156 156 78 -78
S Space -2 -2 156 156 110 -46
Space B 1 -1 156 93 312 156
B E 2 2 93 125 124 31
E E 0 0 125 156 188 63
E N -2 -3 156 203 202 46
N Space -1 2 203 219 156 -47
Space Space 0 0 219 109 1061 842
Space RShiftKey 1 -7 109 500 187 78
RShiftKey Oem7 1 0 500 218 266 -234
Oem7 RShiftKey -1 0 218 312 1357 1139
RShiftKey Oem7 1 0 312 203 187 -125
Oem7 Left -2 0 203 156 671 468
Left LShiftKey 1 11 156 281 577 421
LShiftKey N 0 -6 281 109 187 -94
N O 2 -3 109 140 203 94
O Right -3 -4 140 124 874 734
Right Space 0 9 124 78 468 344
Space F 2 0 78 93 468 390
F O 1 -5 93 156 93 0
O R 0 5 156 141 109 -47
R Space -3 0 141 172 47 -94
Space T 3 -1 172 109 297 125
T O 0 -4 109 78 124 15
O O 0 0 78 187 141 63
O Space -3 5 187 265 156 -31
Space M 1 -3 265 78 1856 1591
M A 1 6 78 109 94 16
A N -1 -5 109 62 78 -31
N Y 2 0 62 93 203 141
Y Space -3 2 93 140 156 63
Space D 2 1 140 94 748 608
D A 0 2 94 140 219 125
A Y 1 -5 140 109 203 63
Y S -1 4 109 141 93 -16
S Space -2 -2 141 172 78 -63
Space I 3 -4 172 124 141 -31
I N -2 2 124 124 234 110
N Space -1 2 124 94 62 -62
Space A 2 3 94 172 62 -32
A Space -2 -3 172 125 141 -31
Space R 3 0 125 110 249 124
R O 0 -5 110 172 78 -32
O W 0 7 172 156 156 -16
W Oemcomma -2 -6 156 125 1389 1233
Oemcomma Space -1 4 125 171 125 0
Space LShiftKey 1 4 171 203 187 16
LShiftKey I 2 -8 203 94 140 -63
I Space -3 4 94 125 125 31
Space K 2 -4 125 109 94 -31
K N -1 2 109 78 218 109
N O 2 -3 78 140 250 172
O W 0 7 140 156 124 -16
W Space -3 -2 156 172 78 -78
Space LShiftKey 1 4 172 234 765 593
LShiftKey I 2 -8 234 93 125 -109
I Space -3 4 93 109 62 -31
Space N 1 -2 109 124 172 63
N E 2 3 124 94 124 0
E E 0 0 94 94 156 62
E D -1 0 94 125 172 78
D Space -2 -1 125 172 156 31
Space T 3 -1 172 94 577 405
T O 0 -4 94 109 63 -31
O Space -3 5 109 156 46 -63
Space C 1 1 156 125 203 47
C H 1 -3 125 93 63 -62
H A 0 5 93 156 171 78
A N -1 -5 156 94 47 -109
N G 1 1 94 109 187 93
G E 1 2 109 125 47 -62
E Space -3 -1 125 156 62 -63
Space S 2 2 156 171 968 812
S O 1 -7 171 109 62 -109
O M -2 2 109 156 203 94
M E 2 4 156 125 249 93
E T 0 -2 125 140 250 125
T H -1 -1 140 172 62 -78
H U 1 -1 172 109 125 -47
U I 0 -1 109 47 47 -62
I N -2 2 47 125 125 78
N G 1 1 125 78 78 -47
G OemPeriod -1 -4 78 94 608 530
OemPeriod Return 1 -3 94 156 359 265
Return Return 0 0 156 109 640 484
Return LShiftKey -1 12 109 359 1450 1341
LShiftKey R 2 -4 359 172 281 -78
R E 0 1 172 172 156 -16
E Back 1 -10 172 109 531 359
Back Back 0 0 109 78 187 78
Back Back 0 0 78 62 156 78
Back Back 0 0 62 94 171 109
Back Return -2 1 94 171 812 718
Return LShiftKey -1 12 171 218 842 671
LShiftKey R 2 -4 218 203 125 -93
R E 0 1 203 125 187 -16
E M -2 -4 125 109 94 -31
M E 2 4 109 187 93 -16
E M -2 -4 187 109 78 -109
M B 0 2 109 94 265 156
B E 2 2 94 109 219 125
E R 0 -1 109 124 203 94
R I 0 -4 124 109 78 -46
I N -2 2 109 109 187 78
N G 1 1 109 124 47 -62
G Space -2 1 124 109 109 -15
Space Y 3 -2 109 78 281 172
Y O 0 -3 78 156 171 93
O U 0 2 156 187 78 -78
U Space -3 3 187 187 78 -109
Space Back 4 -9 187 109 562 375
Back Back 0 0 109 94 171 62
Back Back 0 0 94 94 156 62
Back Back 0 0 94 78 172 78
Back Back 0 0 78 93 172 94
Back T -1 8 93 62 499 406
T H -1 -1 62 125 156 94
H A 0 5 125 125 655 530
A T 1 -4 125 94 78 -47
T Space -3 1 94 140 78 -16
Space LShiftKey 1 4 140 312 281 141
LShiftKey I 2 -8 312 78 203 -109
I Oem7 -1 -3 78 110 670 592
Oem7 L 0 2 110 78 624 514
L L 0 0 78 140 141 63
L Space -2 5 140 109 390 250
Space B 1 -1 109 141 405 296
B E 2 2 141 156 63 -78
E Space -3 -1 156 172 109 -47
Space D 2 1 172 125 156 -16
D E 1 0 125 93 172 47
E A -1 2 93 156 234 141
A D 0 -2 156 125 405 249
D Space -2 -1 125 140 94 -31
Space S 2 2 140 141 140 0
S O 1 -7 141 78 141 0
O O 0 0 78 125 124 46
O N -2 3 125 140 266 141
N Space -1 2 140 109 234 94
Space I 3 -4 109 32 280 171
I S -1 6 32 125 281 249
S Space -2 -2 125 156 125 0
Space T 3 -1 156 156 172 16
T H -1 -1 156 94 140 -16
H E 1 3 94 156 109 15
E Space -3 -1 156 156 94 -62
Space M 1 -3 156 110 171 15
M O 2 -2 110 94 172 62
O S -1 7 94 109 94 0
S T 1 -3 109 141 202 93
T Space -3 1 141 172 94 -47
Space I 3 -4 172 62 1482 1310
I M -2 1 62 109 156 94
M P 2 -3 109 156 234 125
P O 0 1 156 140 94 -62
O R 0 5 140 109 249 109
R T 0 -1 109 109 453 344
T A -1 4 109 140 265 156
A N -1 -5 140 125 109 -31
N T 2 1 125 140 203 78
T Space -3 1 140 124 125 -15
Space T 3 -1 124 109 140 16
T O 0 -4 109 78 172 63
O O 0 0 78 109 140 62
O L -1 0 109 140 484 375
L Space -2 5 140 140 390 250
Space LShiftKey 1 4 140 203 280 140
LShiftKey I 2 -8 203 93 110 -93
I Oem7 -1 -3 93 94 826 733
Oem7 V -1 7 94 125 1311 1217
V E 2 1 125 172 62 -63
E Space -3 -1 172 140 718 546
Space E 3 1 140 125 218 78
E V -2 -1 125 109 172 47
V E 2 1 109 156 78 -31
E R 0 -1 156 125 265 109
R Space -3 0 125 141 109 -16
Space E 3 1 141 141 203 62
E N -2 -3 141 94 187 46
N C 0 3 94 62 484 390
C O 2 -6 62 187 328 266
O U 0 2 187 156 62 -125
U N -2 1 156 125 281 125
N T 2 1 125 110 249 124
T E 0 2 110 202 266 156
E R 0 -1 202 203 249 47
R E 0 1 203 140 172 -31
E D -1 0 140 124 437 297
D Space -2 -1 124 187 936 812
Space T 3 -1 187 140 156 -31
T O 0 -4 140 156 124 -16
O Space -3 5 156 109 110 -46
Space H 2 -2 109 109 327 218
H E 1 3 109 109 125 16
E L -1 -6 109 266 218 109
L P 1 -1 266 219 125 -141
P Space -3 6 219 250 109 -110
Space M 1 -3 250 171 1155 905
M E 2 4 171 156 93 -78
E Space -3 -1 156 156 78 -78
Space M 1 -3 156 218 188 32
M A 1 6 218 140 140 -78
A K 0 -7 140 187 187 47
K E 1 5 187 171 94 -93
E Space -3 -1 171 203 546 375
Space T 3 -1 203 140 749 546
T H -1 -1 140 156 93 -47
H E 1 3 156 156 297 141
E Space -3 -1 156 172 140 -16
Space B 1 -1 172 140 390 218
B I 2 -3 140 171 125 -15
I G -1 3 171 187 109 -62
G Space -2 1 187 187 78 -109
Space C 1 1 187 156 562 375
C H 1 -3 156 109 140 -16
H O 1 -3 109 187 281 172
O I 0 1 187 172 93 -94
I C -2 5 172 125 156 -16
C E 2 0 125 140 219 94
E Back 1 -10 140 125 2418 2278
Back S -2 11 125 125 343 218
S Space -2 -2 125 187 78 -47
Space I 3 -4 187 124 172 -15
I N -2 2 124 141 249 125
N Space -1 2 141 203 47 -94
Space Back 4 -9 203 94 452 249
Back Back 0 0 94 94 172 78
Back Back 0 0 94 78 172 78
Back Back 0 0 78 78 156 78
Back Back 0 0 78 125 171 93
Back E -1 10 125 125 172 47
E S -1 1 125 125 249 124
S Space -2 -2 125 202 188 63
Space I 3 -4 202 156 156 -46
I N -2 2 156 187 249 93
N Space -1 2 187 188 109 -78
Space L 2 -5 188 94 796 608
L I 1 1 94 109 203 109
I F -1 4 109 187 686 577
F E 1 1 187 203 78 -109
E OemPeriod -2 -6 203 141 780 577
OemPeriod Space -1 5 141 172 187 46
Space LShiftKey 1 4 172 312 110 -62
LShiftKey B 0 -5 312 94 202 -110
B E 2 2 94 93 453 359
E C -2 0 93 109 265 172
C A 1 2 109 156 234 125
A U 1 -6 156 93 281 125
U S -1 5 93 94 31 -62
S E 1 -1 94 94 218 124
E Space -3 -1 94 141 156 62
Space A 2 3 141 171 843 702
A S 0 -1 171 125 296 125
S L 0 -7 125 125 125 0
L M -1 2 125 94 468 343
M O 2 -2 94 125 156 62
O S -1 7 125 140 281 156
S T 1 -3 140 78 686 546
T Space -3 1 78 125 125 47
Space E 3 1 125 125 203 78
E V -2 -1 125 110 171 46
V E 2 1 110 125 63 -47
E R 0 -1 125 125 234 109
R Y 0 -2 125 62 265 140
Y T 0 1 62 110 140 78
T H -1 -1 110 125 141 31
H I 1 -2 125 140 78 -47
I N -2 2 140 140 203 63
N G 1 1 140 125 46 -94
G Space -2 1 125 141 1061 936
Space OemMinus 4 -7 141 94 156 15
OemMinus Space -4 7 94 156 141 47
Space A 2 3 156 109 1700 1544
A L 0 -8 109 78 172 63
L L 0 0 78 124 156 78
L Space -2 5 124 203 109 -15
Space E 3 1 203 93 203 0
E X -2 1 93 93 343 250
X T 2 -3 93 109 312 219
T E 0 2 109 187 125 16
E R 0 -1 187 156 109 -78
R N -2 -2 156 124 203 47
N A 1 5 124 172 124 0
A L 0 -8 172 141 125 -47
L Space -2 5 141 172 109 -32
Space E 3 1 172 156 687 515
E X -2 1 156 187 281 125
X P 2 -8 187 171 343 156
P E 0 7 171 94 187 16
E C -2 0 94 125 234 140
C T 2 -2 125 141 265 140
T A -1 4 141 140 297 156
A T 1 -4 140 109 265 125
T I 0 -3 109 203 140 31
I O 0 -1 203 140 125 -78
O N -2 3 140 140 250 110
N S 1 4 140 125 140 0
S Oemcomma -1 -6 125 171 1420 1295
Oemcomma Space -1 4 171 171 156 -15
Space A 2 3 171 156 156 -15
A L 0 -8 156 78 171 15
L L 0 0 78 156 156 78
L Space -2 5 156 172 0 -156
Space P 3 -6 172 171 141 -31
P R 0 6 171 110 202 31
R O 0 -5 110 109 203 93
O I 0 1 109 63 31 -78
I Back 1 -5 63 156 609 546
Back Back 0 0 156 125 702 546
Back I -1 5 125 125 249 124
I D -1 5 125 218 141 16
D E 1 0 218 171 125 -93
E Oemcomma -2 -5 171 171 1357 1186
Oemcomma Space -1 4 171 156 140 -31
Space A 2 3 156 156 172 16
A Oem1 0 -9 156 62 234 78
Oem1 L 0 1 62 47 0 -62
L L 0 0 47 156 140 93
L Oem1 0 -1 156 141 0 -156
Oem1 Back 2 -3 141 125 671 530
Back Back 0 0 125 93 203 78
Back Back 0 0 93 125 218 125
Back Back 0 0 125 156 265 140
Back Oem1 -2 3 156 78 531 375
