D9 D2 0 7 140 156 125 -15
E Back 1 -10 140 110 904 764
Back V -3 9 110 141 125 15
V E 2 1 141 141 156 15
E R 0 -1 141 141 78 -63
R S -1 2 141 124 375 234
S I 1 -6 124 141 405 281
I T 0 3 141 109 141 0
T Y 0 -1 109 93 156 47
Y Return -1 -6 93 110 1528 1435
Return LShiftKey -1 12 110 281 1482 1372
LShiftKey M 0 -7 281 109 188 -93
M Y 2 1 109 109 296 187
Y Space -3 2 109 140 125 16
Space LShiftKey 1 4 140 359 171 31
LShiftKey T 2 -5 359 109 687 328
T H -1 -1 109 109 218 109
H I 1 -2 109 125 406 297
I R 0 4 125 125 140 15
R D -1 1 125 156 219 94
D Space -2 -1 156 156 93 -63
Space S 2 2 156 93 219 63
S T 1 -3 93 125 187 94
T O 0 -4 125 140 125 0
O R 0 5 140 125 93 -47
R Y 0 -2 125 94 203 78
Y Space -3 2 94 156 94 0
Space I 3 -4 156 109 171 15
I S -1 6 109 156 78 -31
S Space -2 -2 156 171 94 -62
Space A 2 3 171 140 156 -15
A B -1 -4 140 125 156 16
B O 2 -4 125 156 281 156
O U 0 2 156 109 265 109
U T 0 2 109 140 31 -78
T Space -3 1 140 156 94 -46
Space D 2 1 156 172 218 62
D E 1 0 172 140 125 -47
E A -1 2 140 171 125 -15
A T 1 -4 171 125 140 -31
T H -1 -1 125 109 156 31
H OemPeriod -1 -3 109 109 967 858
OemPeriod Return 1 -3 109 109 203 94
Return LShiftKey -1 12 109 406 1248 1139
LShiftKey W 2 -2 406 94 296 -110
W H -1 -4 94 125 250 156
H E 1 3 125 141 109 -16
E N -2 -3 141 124 110 -31
N Space -1 2 124 125 140 16
Space LShiftKey 1 4 125 234 265 140
LShiftKey I 2 -8 234 109 141 -93
I Space -3 4 109 156 171 62
Space W 3 2 156 172 125 -31
W A -1 1 172 171 125 -47
A S 0 -1 171 156 109 -62
S Space -2 -2 156 156 94 -62
Space D1 4 3 156 125 592 436
D1 D7 0 -6 125 109 281 156
D7 Oemcomma -3 -1 109 110 1201 1092
Oemcomma Space -1 4 110 140 94 -16
Space LShiftKey 1 4 140 187 187 47
LShiftKey I 2 -8 187 94 109 -78
I Space -3 4 94 125 156 62
Space R 3 0 125 203 172 47
R E 0 1 203 141 140 -63
E A -1 2 141 203 78 -63
A D 0 -2 203 140 172 -31
D Space -2 -1 140 156 94 -46
Space A 2 3 156 156 124 -32
A Space -2 -3 156 156 125 -31
Space Q 3 3 156 156 390 234
Q U 0 -6 156 94 156 0
U O 0 -2 94 141 187 93
O T 0 4 141 171 110 -31
T E 0 2 171 141 93 -78
E Space -3 -1 141 140 63 -78
Space T 3 -1 140 171 733 593
T H -1 -1 171 109 187 16
H A 0 5 109 125 452 343
A T 1 -4 125 140 63 -62
T Space -3 1 140 140 78 -62
Space W 3 2 140 156 249 109
W E 0 -1 156 125 593 437
E N -2 -3 125 94 125 0
N T 2 1 94 141 109 15
T Space -3 1 141 125 125 -16
Space S 2 2 125 141 265 140
S O 1 -7 141 109 125 -16
O M -2 2 109 141 218 109
M E 2 4 141 109 94 -47
E T 0 -2 109 125 140 31
T H -1 -1 125 110 78 -47
H I 1 -2 110 109 188 78
I N -2 2 109 125 202 93
N G 1 1 125 110 78 -47
G Space -2 1 110 140 63 -47
Space L 2 -5 140 109 125 -15
L I 1 1 109 94 327 218
I K -1 0 94 124 219 125
K E 1 5 124 125 15 -109
E Space -3 -1 125 156 78 -47
Space Back 4 -9 156 62 1217 1061
Back RShiftKey -3 2 62 280 1030 968
RShiftKey Oem1 1 1 280 125 218 -62
Oem1 Space -2 6 125 187 109 -16
Space RShiftKey 1 -7 187 234 281 94
RShiftKey Oem7 1 0 234 110 140 -94
Oem7 Space -2 7 110 187 219 109
Space Back 4 -9 187 125 795 608
Back LShiftKey -3 13 125 249 141 16
LShiftKey I 2 -8 249 63 249 0
I F -1 4 63 125 375 312
F Space -2 0 125 125 78 -47
Space Y 3 -2 125 94 374 249
Y O 0 -3 94 94 78 -16
O U 0 2 94 109 234 140
U Space -3 3 109 172 125 16
Space L 2 -5 172 140 390 218
L Left -2 -2 140 702 1669 1529
Left Right 0 -2 702 94 1092 390
Right Back 4 0 94 94 546 452
Back LShiftKey -3 13 94 218 359 265
LShiftKey I 2 -8 218 78 109 -109
I Back 1 -5 78 78 2340 2262
Back I -1 5 78 109 2278 2200
I V -2 4 109 141 249 140
V E 2 1 141 172 94 -47
E Space -3 -1 172 141 109 -63
Space E 3 1 141 203 343 202
E A -1 2 203 125 94 -109
A C -1 -2 125 93 250 125
C H 1 -3 93 125 343 250
H Space -2 2 125 172 109 -16
Space D 2 1 172 125 156 -16
D A 0 2 125 156 109 -16
A Y 1 -5 156 94 203 47
Y Space -3 2 94 156 125 31
Space A 2 3 156 172 499 343
A S 0 -1 172 141 109 -63
S Space -2 -2 141 140 94 -47
Space I 3 -4 140 125 390 250
I F -1 4 125 125 62 -63
F Space -2 0 125 156 78 -47
Space I 3 -4 156 140 172 16
I T 0 3 140 125 62 -78
T Space -3 1 125 141 109 -16
Space W 3 2 141 156 203 62
W A -1 1 156 156 172 16
A S 0 -1 156 140 109 -47
S Space -2 -2 140 156 125 -15
Space Y 3 -2 156 125 873 717
Y O 0 -3 125 93 141 16
O U 0 2 93 140 203 110
U R 0 3 140 140 858 718
R Space -3 0 140 141 93 -47
Space L 2 -5 141 125 250 109
L A 0 8 125 156 93 -32
A S 0 -1 156 124 110 -46
S T 1 -3 124 125 265 141
T Oemcomma -2 -3 125 124 905 780
Oemcomma Space -1 4 124 156 109 -15
Space S 2 2 156 110 171 15
S O 1 -7 110 94 125 15
O M -2 2 94 109 203 109
M D 1 4 109 140 94 -15
D E 1 0 140 141 93 -47
E D -1 0 141 141 343 202
D A 0 2 141 109 125 -16
A Back 2 -12 109 109 406 297
Back Back 0 0 109 78 218 109
Back Back 0 0 78 94 187 109
Back Back 0 0 94 109 188 94
Back E -1 10 109 110 202 93
E D -1 0 110 141 312 202
D A 0 2 141 140 188 47
A Y 1 -5 140 125 2745 2605
Y Space -3 2 125 109 125 0
Space Y 3 -2 109 140 858 749
Y O 0 -3 140 93 94 -46
O U 0 2 93 94 218 125
U Oem7 -1 -4 94 93 593 499
Oem7 L 0 2 93 93 281 188
L L 0 0 93 125 171 78
L Space -2 5 125 140 141 16
Space M 1 -3 140 109 936 796
M O 2 -2 109 109 249 140
O S -1 7 109 109 94 -15
S T 1 -3 109 141 140 31
T Space -3 1 141 140 94 -47
Space C 1 1 140 124 203 63
C E 2 0 124 140 140 16
E R 0 -1 140 109 125 -15
R T 0 -1 109 124 203 94
T A -1 4 124 172 140 16
A I 1 -7 172 78 125 -47
I N -2 2 78 94 187 109
N L 1 -3 94 109 234 140
L Y 1 3 109 140 47 -62
Y Space -3 2 140 109 109 -31
Space B 1 -1 109 93 172 63
B E 2 2 93 141 46 -47
E Space -3 -1 141 125 141 0
Space R 3 0 125 156 140 15
R I 0 -4 156 141 109 -47
I G -1 3 141 78 203 62
G H 0 -1 78 110 265 187
H T 1 1 110 109 63 -47
T OemPeriod -2 -4 109 78 1653 1544
OemPeriod RShiftKey 0 -2 78 203 468 390
RShiftKey Oem7 1 0 203 94 94 -109
Oem7 Space -2 7 94 141 2090 1996
Space LShiftKey 1 4 141 250 234 93
LShiftKey I 2 -8 250 125 172 -78
I T 0 3 125 171 515 390
T Space -3 1 171 140 125 -46
Space M 1 -3 140 141 171 31
M A 1 6 141 156 94 -47
A D 0 -2 156 156 109 -47
D E 1 0 156 171 172 16
E Space -3 -1 171 140 140 -31
Space A 2 3 140 140 156 16
A N -1 -5 140 125 125 -15
N Space -1 2 125 125 140 15
Space I 3 -4 125 125 562 437
I M -2 1 125 109 218 93
M P 2 -3 109 125 250 141
P R 0 6 125 172 109 -16
R E 0 1 172 125 109 -63
E S -1 1 125 94 234 109
S S 0 0 94 109 172 78
S I 1 -6 109 94 140 31
I O 0 -1 94 125 203 109
O N -2 3 125 125 281 156
N Space -1 2 125 124 125 0
Space O 3 -5 124 94 171 47
O N -2 3 94 78 250 156
N Space -1 2 78 140 125 47
Space M 1 -3 140 94 218 78
M E 2 4 94 94 78 -16
E Oemcomma -2 -5 94 109 671 577
Oemcomma Space -1 4 109 140 125 16
Space A 2 3 140 140 156 16
A N -1 -5 140 94 202 62
N D 1 3 94 156 110 16
D Space -2 -1 156 140 109 -47
Space S 2 2 140 156 203 63
S E 1 -1 156 47 171 15
E Back 1 -10 47 140 671 624
Back I -1 5 140 140 406 266
I N -2 2 140 125 249 109
N C 0 3 125 140 94 -31
C E 2 0 140 156 62 -78
E Space -3 -1 156 125 125 -31
Space T 3 -1 125 156 125 0
T H -1 -1 156 110 93 -63
H E 1 3 110 156 125 15
E N -2 -3 156 125 109 -47
N Space -1 2 125 140 141 16
Space Back 4 -9 140 109 686 546
Back Oemcomma -3 5 109 125 437 328
Oemcomma Space -1 4 125 140 78 -47
Space F 2 0 140 140 172 32
F O 1 -5 140 124 156 16
O R 0 5 124 124 78 -46
R Space -3 0 124 156 78 -46
Space T 3 -1 156 172 140 -16
T H -1 -1 172 124 94 -78
H E 1 3 124 156 124 0
E Space -3 -1 156 140 110 -46
Space P 3 -6 140 125 280 140
P A -1 9 125 172 78 -47
A S 0 -1 172 156 94 -78
S T 1 -3 156 125 265 109
T Space -3 1 125 140 94 -31
Space D1 4 3 140 109 515 375
D1 Back 0 -12 109 140 608 499
Back D3 0 10 140 47 218 78
D3 D3 0 0 47 109 141 94
D3 Space -4 -1 109 171 468 359
Space Y 3 -2 171 62 390 219
Y U 0 -1 62 47 15 -47
U E 0 4 47 125 47 0
E Back 1 -10 125 125 858 733
Back Back 0 0 125 125 187 62
Back E -1 10 125 140 172 47
E A -1 2 140 187 94 -46
A R 1 -3 187 94 202 15
R S -1 2 94 109 250 156
S Oemcomma -1 -6 109 109 796 687
Oemcomma Space -1 4 109 125 124 15
Space LShiftKey 1 4 125 968 390 265
LShiftKey I 2 -8 968 109 890 -78
I Space -3 4 109 156 124 15
Space H 2 -2 156 78 203 47
H A 0 5 78 94 109 31
A V -1 -3 94 94 234 140
V E 2 1 94 125 78 -16
E Space -3 -1 125 140 94 -31
Space L 2 -5 140 125 296 156
L O 1 0 125 110 234 109
O O 0 0 110 93 188 78
O K -1 1 93 125 202 109
K E 1 5 125 125 94 -31
E D -1 0 125 141 218 93
D Space -2 -1 141 125 125 -16
Space I 3 -4 125 124 1077 952
I N -2 2 124 109 249 125
N Space -1 2 109 156 94 -15
Space T 3 -1 156 141 171 15
T H -1 -1 141 110 78 -63
H E 1 3 110 125 172 62
E Space -3 -1 125 125 78 -47
Space M 1 -3 125 109 109 -16
M I 2 -1 109 109 234 125
I R 0 4 109 78 172 63
R R 0 0 78 109 156 78
R O 0 -5 109 124 125 16
O R 0 5 124 140 296 172
R Space -3 0 140 141 109 -31
Space E 3 1 141 140 359 218
E V -2 -1 140 110 296 156
V E 2 1 110 187 141 31
E R 0 -1 187 93 156 -31
R Y 0 -2 93 110 171 78
Y Space -3 2 110 141 156 46
Space M 1 -3 141 109 188 47
M O 2 -2 109 140 218 109
O R 0 5 140 124 94 -46
R I 0 -4 124 62 187 63
I Back 1 -5 62 125 343 281
Back N -3 7 125 125 234 109
N I 2 -2 125 109 250 125
I N -2 2 109 140 218 109
N G 1 1 140 156 16 -124
G Space -2 1 156 140 109 -47
Space A 2 3 140 141 249 109
A N -1 -5 141 125 125 -16
N D 1 3 125 141 78 -47
D Space -2 -1 141 140 94 -47
Space A 2 3 140 187 234 94
A S 0 -1 187 140 125 -62
S K 0 -6 140 125 202 62
K E 1 5 125 124 110 -15
E D -1 0 124 125 202 78
D Space -2 -1 125 125 78 -47
Space M 1 -3 125 93 110 -15
M Y 2 1 93 110 202 109
Y S -1 4 110 125 94 -16
S E 1 -1 125 140 78 -47
E L -1 -6 140 47 203 63
L F 0 5 47 125 62 15
F RShiftKey -1 -7 125 218 2169 2044
RShiftKey Oem1 1 1 218 110 124 -94
Oem1 Space -2 6 110 125 94 -16
Space RShiftKey 1 -7 125 312 234 109
RShiftKey Oem7 1 0 312 140 156 -156
Oem7 LShiftKey -1 11 140 718 686 546
LShiftKey I 2 -8 718 125 515 -203
I F -1 4 125 140 406 281
F Space -2 0 140 156 109 -31
Space T 3 -1 156 109 234 78
T O 0 -4 109 93 125 16
O D -1 6 93 140 203 110
D A 0 2 140 156 109 -31
A Y 1 -5 156 94 686 530
Y Space -3 2 94 141 109 15
Space W 3 2 141 172 203 62
W A -1 1 172 188 109 -63
A S 0 -1 188 125 141 -47
S Space -2 -2 125 156 109 -16
Space Back 4 -9 156 109 343 187
Back Back 0 0 109 78 219 110
Back Back 0 0 78 78 171 93
Back E -1 10 78 156 531 453
E R 0 -1 156 171 109 -47
R E 0 1 171 124 125 -46
E Space -3 -1 124 141 46 -78
Space T 3 -1 141 156 172 31
T H -1 -1 156 140 172 16
H E 1 3 140 156 124 -16
E Space -3 -1 156 156 78 -78
Space L 2 -5 156 110 156 0
L A 0 8 110 172 94 -16
A S 0 -1 172 156 78 -94
S T 1 -3 156 141 374 218
T Space -3 1 141 140 110 -31
Space D 2 1 140 125 327 187
D A 0 2 125 156 78 -47
A Y 1 -5 156 109 312 156
Y Space -3 2 109 156 109 0
Space O 3 -5 156 125 827 671
O F -1 5 125 125 109 -16
F Space -2 0 125 125 63 -62
Space M 1 -3 125 124 125 0
M Y 2 1 124 63 249 125
Y Space -3 2 63 124 141 78
Space L 2 -5 124 94 202 78
L I 1 1 94 110 234 140
I F -1 4 110 156 156 46
F E 1 1 156 140 63 -93
E Oemcomma -2 -5 140 125 1014 874
Oemcomma Space -1 4 125 156 140 15
Space W 3 2 156 156 827 671
W O 0 -7 156 109 265 109
O U 0 2 109 94 234 125
U L -1 -2 94 125 250 156
L D 0 6 125 140 125 0
D Space -2 -1 140 140 109 -31
Space LShiftKey 1 4 140 328 171 31
LShiftKey I 2 -8 328 125 141 -187
I Space -3 4 125 125 140 15
Space W 3 2 125 110 265 140
W A -1 1 110 188 78 -32
A S 0 -1 188 125 141 -47
S Back 2 -11 125 94 499 374
Back N -3 7 94 125 265 171
N T 2 1 125 141 109 -16
T Space -3 1 141 124 110 -31
Space T 3 -1 124 156 218 94
T O 0 -4 156 93 125 -31
O Space -3 5 93 140 109 16
Space D 2 1 140 141 218 78
D O 1 -6 141 125 94 -47
O Space -3 5 125 140 125 0
Space W 3 2 140 125 265 125
W H -1 -4 125 140 172 47
H A 0 5 140 156 140 0
A T 1 -4 156 125 218 62
T Space -3 1 125 156 78 -47
Space LShiftKey 1 4 156 312 500 344
LShiftKey I 2 -8 312 109 156 -156
I Space -3 4 109 141 171 62
Space A 2 3 141 156 156 15
A M -1 -6 156 93 141 -15
M Space -1 3 93 156 124 31
Space A 2 3 156 172 203 47
A B -1 -4 172 141 109 -63
B O 2 -4 141 125 328 187
O U 0 2 125 125 265 140
U T 0 2 125 156 125 0
T Space -3 1 156 125 125 -31
Space T 3 -1 125 156 156 31
T O 0 -4 156 93 156 0
O Space -3 5 93 125 93 0
Space D 2 1 125 125 234 109
D O 1 -6 125 125 78 -47
O Space -3 5 125 125 94 -31
Space T 3 -1 125 140 203 78
T O 0 -4 140 125 109 -31
O D -1 6 125 141 187 62
D A 0 2 141 156 109 -32
A Y 1 -5 156 94 312 156
Y RShiftKey -2 -5 94 171 1545 1451
RShiftKey OemQuestion 0 1 171 125 62 -109
OemQuestion RShiftKey 0 -1 125 172 499 374
RShiftKey Oem7 1 0 172 110 78 -94
Oem7 Space -2 7 110 125 203 93
Space LShiftKey 1 4 125 811 453 328
LShiftKey A 1 -1 811 125 670 -141
A N -1 -5 125 93 297 172
N D 1 3 93 140 125 32
D Space -2 -1 140 141 124 -16
Space W 3 2 141 156 297 156
W H -1 -4 156 140 125 -31
H E 1 3 140 156 140 0
E N -2 -3 156 125 140 -16
N E 2 3 125 141 749 624
E V -2 -1 141 109 203 62
V E 2 1 109 187 94 -15
E R 0 -1 187 141 124 -63
R Space -3 0 141 125 78 -63
Space T 3 -1 125 140 219 94
T H -1 -1 140 125 171 31
H E 1 3 125 156 78 -47
E Space -3 -1 156 140 94 -62
Space A 2 3 140 140 172 32
A N -1 -5 140 109 140 0
N S 1 4 109 109 265 156
S W 1 0 109 156 796 687
W E 0 -1 156 156 125 -31
E R 0 -1 156 125 249 93
R Space -3 0 125 140 63 -62
Space H 2 -2 140 140 218 78
H A 0 5 140 141 140 0
A S 0 -1 141 140 32 -109
S Space -2 -2 140 125 124 -16
Space B 1 -1 125 109 203 78
B E 2 2 109 109 125 16
E E 0 0 109 156 172 63
E N -2 -3 156 156 140 -16
N Space -1 2 156 140 94 -62
Space RShiftKey 1 -7 140 203 2168 2028
RShiftKey Oem7 1 0 203 125 78 -125
Oem7 LShiftKey -1 11 125 874 203 78
LShiftKey N 0 -6 874 94 686 -188
N O 2 -3 94 93 375 281
O RShiftKey -2 -2 93 187 374 281
RShiftKey Oem7 1 0 187 125 78 -109
Oem7 Space -2 7 125 156 312 187
Space F 2 0 156 140 219 63
F O 1 -5 140 125 249 109
O R 0 5 125 187 47 -78
R Space -3 0 187 125 156 -31
Space T 3 -1 125 125 296 171
T O 0 -4 125 62 141 16
O O 0 0 62 109 125 63
O Space -3 5 109 156 156 47
Space M 1 -3 156 109 702 546
M A 1 6 109 94 124 15
A N -1 -5 94 93 110 16
N Y 2 0 93 94 249 156
Y Space -3 2 94 172 47 -47
Space D 2 1 172 140 203 31
D A 0 2 140 172 109 -31
A Y 1 -5 172 63 140 -32
Y S -1 4 63 125 141 78
S Space -2 -2 125 156 125 0
Space I 3 -4 156 110 280 124
I N -2 2 110 94 234 124
N Space -1 2 94 140 110 16
Space A 2 3 140 156 156 16
A Space -2 -3 156 141 93 -63
Space R 3 0 141 125 1186 1045
R O 0 -5 125 125 93 -32
O W 0 7 125 124 110 -15
W Oemcomma -2 -6 124 109 873 749
Oemcomma Space -1 4 109 109 125 16
Space LShiftKey 1 4 109 328 187 78
LShiftKey I 2 -8 328 93 141 -187
I Space -3 4 93 109 218 125
Space K 2 -4 109 109 78 -31
K N -1 2 109 109 234 125
N O 2 -3 109 141 265 156
O W 0 7 141 172 109 -32
W Space -3 -2 172 140 141 -31
Space LShiftKey 1 4 140 250 374 234
LShiftKey I 2 -8 250 93 141 -109
I Space -3 4 93 109 327 234
Space N 1 -2 109 62 219 110
N E 2 3 62 125 202 140
E E 0 0 125 156 234 109
E D -1 0 156 125 203 47
D Space -2 -1 125 125 94 -31
Space T 3 -1 125 125 171 46
T O 0 -4 125 93 141 16
O Space -3 5 93 156 234 141
Space C 1 1 156 172 140 -16
C H 1 -3 172 109 125 -47
H A 0 5 109 156 140 31
A N -1 -5 156 78 125 -31
N G 1 1 78 141 156 78
G E 1 2 141 141 109 -32
E Space -3 -1 141 156 63 -78
Space S 2 2 156 125 312 156
S O 1 -7 125 125 62 -63
O M -2 2 125 94 265 140
M E 2 4 94 140 172 78
E T 0 -2 140 172 156 16
T H -1 -1 172 109 109 -63
H I 1 -2 109 125 250 141
I N -2 2 125 94 249 124
N G 1 1 94 156 32 -62
G OemPeriod -1 -4 156 93 780 624
OemPeriod Return 1 -3 93 125 904 811
Return LShiftKey -1 12 125 437 1420 1295
LShiftKey R 2 -4 437 156 296 -141
R E 0 1 156 156 250 94
E M -2 -4 156 124 250 94
M E 2 4 124 124 702 578
E M -2 -4 124 110 592 468
M B 0 2 110 125 999 889
B E 2 2 125 156 156 31
E R 0 -1 156 156 218 62
R E 0 1 156 94 125 -31
E Back 1 -10 94 125 359 265
Back I -1 5 125 125 343 218
I N -2 2 125 140 250 125
N G 1 1 140 125 93 -47
G Space -2 1 125 125 78 -47
Space T 3 -1 125 78 281 156
T H -1 -1 78 109 250 172
H A 0 5 109 187 93 -16
A T 1 -4 187 156 125 -62
T Space -3 1 156 140 125 -31
Space LShiftKey 1 4 140 234 234 94
LShiftKey I 2 -8 234 78 125 -109
I Oem7 -1 -3 78 109 608 530
Oem7 L 0 2 109 125 296 187
L L 0 0 125 109 203 78
L Space -2 5 109 140 125 16
Space B 1 -1 140 93 359 219
B E 2 2 93 125 296 203
E Space -3 -1 125 156 63 -62
Space D 2 1 156 187 187 31
D E 1 0 187 141 171 -16
E A -1 2 141 140 172 31
A D 0 -2 140 172 78 -62
D Space -2 -1 172 156 140 -32
Space S 2 2 156 125 234 78
S O 1 -7 125 93 188 63
O O 0 0 93 109 171 78
O B -2 4 109 47 281 172
B Space -1 1 47 125 125 78
Space Back 4 -9 125 109 686 561
Back Back 0 0 109 110 187 78
Back N -3 7 110 125 234 124
N Space -1 2 125 140 110 -15
Space I 3 -4 140 93 156 16
I S -1 6 93 172 62 -31
S Space -2 -2 172 171 125 -47
Space T 3 -1 171 156 296 125
T H -1 -1 156 124 141 -15
H E 1 3 124 171 78 -46
E Space -3 -1 171 141 124 -47
Space M 1 -3 141 124 110 -31
M O 2 -2 124 109 249 125
O S -1 7 109 47 156 47
S T 1 -3 47 171 16 -31
T Space -3 1 171 140 499 328
Space I 3 -4 140 94 343 203
I M -2 1 94 62 219 125
M P 2 -3 62 109 187 125
P O 0 1 109 125 218 109
O R 0 5 125 125 94 -31
R T 0 -1 125 110 171 46
T A -1 4 110 156 156 46
A N -1 -5 156 110 234 78
N T 2 1 110 125 125 15
T Space -3 1 125 94 109 -16
Space T 3 -1 94 125 281 187
T O 0 -4 125 109 78 -47
O O 0 0 109 94 187 78
O L -1 0 94 141 203 109
L Space -2 5 141 141 109 -32
Space LShiftKey 1 4 141 265 281 140
LShiftKey I 2 -8 265 109 141 -124
I Oem7 -1 -3 109 125 499 390
Oem7 V -1 7 125 172 109 -16
V E 2 1 172 156 140 -32
E Space -3 -1 156 156 78 -78
Space E 3 1 156 140 250 94
E V -2 -1 140 124 1264 1124
V E 2 1 124 172 140 16
E R 0 -1 172 156 125 -47
R Space -3 0 156 156 109 -47
Space E 3 1 156 93 593 437
E C -2 0 93 125 296 203
C N 0 -3 125 109 234 109
N Back 3 -7 109 94 343 234
Back Back 0 0 94 109 172 78
Back N -3 7 109 140 234 125
N C 0 3 140 124 94 -46
C A 1 2 124 47 187 63
A Back 2 -12 47 109 343 296
Back O -1 4 109 94 936 827
O U 0 2 94 93 250 156
U N -2 1 93 124 234 141
N T 2 1 124 140 156 32
T E 0 2 140 140 156 16
E R 0 -1 140 156 78 -62
R E 0 1 156 156 109 -47
E D -1 0 156 140 265 109
D Space -2 -1 140 109 125 -15
Space T 3 -1 109 140 187 78
T O 0 -4 140 109 109 -31
O Space -3 5 109 125 109 0
Space H 2 -2 125 94 203 78
H E 1 3 94 94 156 62
E L -1 -6 94 93 141 47
L P 1 -1 93 94 218 125
P Space -3 6 94 110 140 46
Space M 1 -3 110 125 125 15
M E 2 4 125 140 94 -31
E Space -3 -1 140 140 78 -62
Space M 1 -3 140 110 249 109
M A 1 6 110 156 94 -16
A K 0 -7 156 141 187 31
K E 1 5 141 141 156 15
E Space -3 -1 141 141 109 -32
Space T 3 -1 141 140 406 265
T H -1 -1 140 140 156 16
H E 1 3 140 140 94 -46
E Space -3 -1 140 140 78 -62
Space B 1 -1 140 124 624 484
B I 2 -3 124 63 171 47
I G -1 3 63 172 265 202
G Space -2 1 172 140 141 -31
Space C 1 1 140 125 343 203
C H 1 -3 125 125 140 15
H O 1 -3 125 109 266 141
O I 0 1 109 141 202 93
I C -2 5 141 187 110 -31
C E 2 0 187 125 140 -47
E S -1 1 125 110 218 93
S Space -2 -2 110 125 94 -16
Space I 3 -4 125 94 109 -16
I N -2 2 94 109 219 125
N Space -1 2 109 141 93 -16
Space L 2 -5 141 94 187 46
L I 1 1 94 125 219 125
I F -1 4 125 172 171 46
F E 1 1 172 141 125 -47
E OemPeriod -2 -6 141 141 1560 1419
OemPeriod Space -1 5 141 141 109 -32
Space LShiftKey 1 4 141 280 188 47
LShiftKey B 0 -5 280 109 140 -140
B E 2 2 109 141 218 109
E C -2 0 141 156 219 78
C A 1 2 156 125 218 62
A U 1 -6 125 141 390 265
U S -1 5 141 141 109 -32
S E 1 -1 141 156 78 -63
E Space -3 -1 156 172 94 -62
Space A 2 3 172 156 359 187
A L 0 -8 156 94 109 -47
L M -1 2 94 109 203 109
M O 2 -2 109 125 249 140
O S -1 7 125 125 63 -62
S T 1 -3 125 125 187 62
T Space -3 1 125 125 78 -47
Space E 3 1 125 94 234 109
E V -2 -1 94 156 203 109
V E 2 1 156 141 171 15
E R 0 -1 141 156 94 -47
R Y 0 -2 156 109 172 16
Y T 0 1 109 94 124 15
T H -1 -1 94 78 125 31
H I 1 -2 78 125 172 94
I N -2 2 125 94 218 93
N G 1 1 94 94 109 15
G OemMinus 2 -6 94 78 515 421
OemMinus Space -4 7 78 156 125 47
Space A 2 3 156 109 234 78
A L 0 -8 109 94 140 31
L L 0 0 94 125 156 62
L Space -2 5 125 141 125 0
Space E 3 1 141 109 203 62
E X -2 1 109 94 265 156
X T 2 -3 94 156 437 343
T E 0 2 156 141 187 31
E R 0 -1 141 125 109 -32
R N -2 -2 125 125 125 0
N A 1 5 125 140 250 125
A L 0 -8 140 109 125 -15
L Space -2 5 109 125 124 15
Space E 3 1 125 78 250 125
E X -2 1 78 109 234 156
X P 2 -8 109 125 125 16
P E 0 7 125 125 140 15
E C -2 0 125 125 874 749
C T 2 -2 125 125 265 140
T A -1 4 125 156 125 0
A T 1 -4 156 140 125 -31
T I 0 -3 140 94 140 0
I O 0 -1 94 109 187 93
O N -2 3 109 109 250 141
N S 1 4 109 156 140 31
S Oemcomma -1 -6 156 124 1077 921
Oemcomma Space -1 4 124 109 93 -31
Space A 2 3 109 171 94 -15
A L 0 -8 171 78 171 0
L L 0 0 78 140 141 63
L Space -2 5 140 124 125 -15
